267,291 (1.05535e+008) 
267,291 (8.25584) 
266,291 (32.5989) 
266,292 (11.1782) 
267,291 (21.2924) 
271,291 (12.4391) 
270,289 (9.11518) 
266,291 (18.7983) 
267,290 (18.3332) 
267,290 (12.8694) 
187,531 (15.2089) 
113,846 (27.1638) 
105,843 (20.8221) 
102,869 (12.4084) 
101,878 (8.97761) 
86,885 (18.5743) 
87,884 (17.7347) 
88,884 (12.104) 
83,881 (16.0622) 
82,881 (14.1556) 
77,886 (28.2701) 
81,884 (10.7535) 
89,876 (14.721) 
117,861 (16.4858) 
119,861 (15.7813) 
126,856 (11.7244) 
134,850 (22.7071) 
135,844 (13.6861) 
135,842 (7.92076) 
132,846 (34.5214) 
133,845 (13.8868) 
134,841 (15.1166) 
125,841 (14.8299) 
122,841 (11.7891) 
122,839 (20.9697) 
122,840 (12.4995) 
123,843 (7.23066) 
124,843 (17.8755) 
123,847 (29.7381) 
123,850 (14.116) 
122,850 (14.4682) 
119,845 (10.8112) 
116,840 (20.2077) 
118,842 (12.6528) 
138,724 (7.64048) 
162,481 (17.7157) 
189,363 (18.1945) 
174,412 (30.0408) 
184,375 (12.2663) 
192,346 (8.35485) 
194,345 (17.928) 
201,347 (17.4724) 
197,345 (13.676) 
200,341 (16.1635) 
202,344 (15.0942) 
196,324 (9.76116) 
171,194 (36.0484) 
175,216 (6.88342) 
167,181 (16.8727) 
162,162 (16.9273) 
162,163 (12.521) 
162,165 (15.4896) 
163,168 (14.579) 
163,169 (9.11639) 
163,171 (18.8936) 
160,163 (30.8031) 
160,162 (15.8969) 
160,164 (14.9919) 
161,167 (11.5179) 
161,166 (20.9593) 
162,166 (13.164) 
162,166 (8.70853) 
161,164 (18.8094) 
162,162 (16.8699) 
161,161 (31.6678) 
161,161 (13.966) 
161,160 (10.8551) 
160,157 (19.8732) 
160,155 (19.0109) 
160,154 (15.6712) 
159,152 (18.1364) 
159,152 (17.1411) 
159,152 (11.7316) 
158,153 (37.7519) 
159,154 (8.61819) 
163,159 (19.6398) 
164,161 (17.7387) 
167,164 (14.8417) 
174,161 (33.3115) 
174,162 (10.657) 
340,170 (49.2675) 
444,176 (32.2968) 
445,172 (13.0037) 
446,170 (14.3301) 
447,171 (14.0828) 
447,176 (9.26811) 
447,177 (19.5054) 
450,177 (18.1128) 
451,178 (33.1507) 
450,179 (15.6127) 
450,178 (13.1548) 
452,178 (13.4703) 
448,176 (12.4433) 
448,179 (9.90202) 
450,183 (19.4666) 
451,186 (19.1073) 
451,187 (13.4428) 
426,201 (217.708) 
430,202 (16.0652) 
