,425 (25.805) 
155,427 (11.3354) 
155,428 (9.23335) 
154,428 (6.67753) 
154,429 (37.3143) 
154,428 (17.0406) 
154,428 (18.8575) 
155,431 (18.0974) 
155,431 (14.8894) 
155,429 (16.8488) 
155,428 (16.5403) 
154,427 (10.3827) 
155,426 (11.6253) 
157,425 (24.9958) 
158,425 (8.93404) 
157,425 (10.5393) 
157,425 (5.72289) 
156,425 (25.3672) 
157,424 (7.31729) 
158,423 (15.8165) 
158,424 (17.8695) 
158,428 (18.3804) 
158,427 (31.23) 
156,437 (13.9652) 
155,441 (11.8649) 
155,449 (13.2362) 
163,444 (12.104) 
172,437 (6.69959) 
212,408 (26.101) 
219,404 (7.95487) 
234,395 (18.4645) 
260,378 (45.3163) 
260,378 (10.9341) 
269,375 (8.9552) 
272,370 (9.88091) 
271,371 (2.32795) 
283,351 (19.3388) 
285,352 (18.8536) 
288,353 (12.2505) 
291,348 (13.4396) 
290,307 (26.7968) 
290,322 (12.1553) 
289,308 (10.7965) 
292,315 (10.0078) 
304,335 (8.66862) 
307,344 (9.61956) 
301,365 (5.57293) 
301,362 (21.6006) 
301,355 (20.7019) 
302,340 (34.4996) 
301,336 (16.9351) 
298,322 (31.1767) 
297,321 (14.9135) 
297,322 (10.6282) 
299,322 (12.6423) 
300,325 (12.5318) 
302,330 (8.32312) 
308,347 (24.2723) 
312,365 (3.58465) 
301,324 (22.9856) 
297,316 (21.945) 
297,315 (36.1451) 
311,356 (19.9627) 
307,326 (30.9058) 
305,288 (28.1433) 
309,311 (12.3745) 
308,323 (12.2696) 
309,321 (11.6848) 
302,327 (10.3512) 
306,341 (9.89688) 
305,335 (6.11369) 
306,329 (22.8889) 
305,331 (21.8991) 
308,334 (36.381) 
301,329 (19.34) 
302,303 (14.9097) 
299,330 (17.3032) 
300,332 (16.6329) 
301,332 (12.242) 
301,333 (15.1811) 
303,334 (15.5149) 
304,335 (9.93301) 
307,339 (29.7264) 
301,373 (9.74051) 
306,341 (8.20636) 
305,342 (10.7495) 
305,333 (5.76242) 
301,314 (23.168) 
302,325 (19.7936) 
289,309 (15.0264) 
293,317 (16.8767) 
295,317 (28.785) 
288,312 (13.1274) 
345,368 (12.3822) 
326,349 (9.11736) 
428,451 (11.3872) 
445,481 (11.1835) 
439,478 (5.19529) 
439,481 (23.3924) 
440,484 (22.3193) 
439,482 (37.0334) 
442,482 (19.0861) 
443,479 (15.9201) 
444,478 (17.5257) 
444,479 (18.8124) 
444,480 (14.9129) 
442,483 (15.7501) 
442,482 (13.8276) 
442,482 (8.56643) 
444,479 (30.7479) 
451,492 (11.8563) 
456,503 (12.1705) 
456,501 (12.9512) 
449,489 (8.68521) 
448,481 (9.37614) 
451,488 (10.0016) 
453,496 (10.5861) 
447,488 (10.0278) 
445,489 (15.0381) 
442,484 (15.1059) 
437,478 (15.0805) 
438,482 (11.6976) 
441,485 (13.5513) 
443,485 (13.7483) 
445,486 (8.2823) 
446,482 (9.95769) 
446,483 (8.78747) 
447,485 (23.6) 
444,489 (23.4672) 
442,489 (18.5572) 
440,490 (20.381) 
439,489 (20.3616) 
441,487 (14.5444) 
441,487 (18.474) 
445,481 (16.8894) 
446,477 (11.4837) 
446,472 (29.7114) 
444,448 (31.5675) 
436,437 (14.9806) 
438,381 (27.5959) 
442,240 (2.15651) 
446,220 (14.6979) 
447,207 (9.55563) 
451,197 (5.1331) 
449,193 (34.1495) 
439,176 (18.1681) 
435,175 (18.9698) 
441,184 (15.087) 
436,179 (16.7589) 
440,182 (15.9928) 
438,180 (13.6235) 
442,182 (12.7154) 
443,171 (16.3182) 
443,172 (27.5859) 
441,174 (11.0076) 
441,175 (6.7732) 
444,176 (23.2067) 
444,176 (22.601) 
446,177 (18.2794) 
448,179 (20.2229) 
448,182 (17.5858) 
457,192 (14.5844) 
457,218 (30.9544) 
454,214 (11.2811) 
449,197 (12.327) 
446,190 (12.0433) 
445,187 (7.76658) 
443,181 (27.5738) 
444,194 (9.40974) 
448,190 (3.88599) 
446,180 (21.9151) 
443,178 (37.4597) 
446,190 (24.2564) 
445,185 (7.79096) 
444,185 (22.3928) 
440,182 (17.9356) 
441,182 (18.8985) 
442,182 (12.4921) 
449,184 (14.049) 
453,187 (14.1276) 
456,188 (27.3676) 
454,189 (9.5995) 
455,190 (6.78452) 
454,193 (24.2906) 
449,194 (8.52005) 
446,191 (2.43436) 
446,192 (22.0966) 
446,193 (20.1498) 
446,194 (17.0376) 
446,193 (33.6283) 
446,192 (12.4976) 
317,183 (15.7801) 
265,183 (14.3875) 
251,179 (11.7542) 
219,177 (28.1328) 
216,177 (5.92354) 
212,179 (56.793) 
209,180 (11.3075) 
192,183 (14.0495) 
175,189 (11.1733) 
169,191 (18.9158) 
164,193 (12.6398) 
161,189 (11.0433) 
161,190 (9.29185) 
162,192 (11.6729) 
162,191 (24.3013) 
164,189 (7.87781) 
164,186 (20.8546) 
161,184 (22.5317) 
160,183 (23.1546) 
158,182 (17.5295) 
158,183 (12.1272) 
159,187 (11.8089) 
162,193 (4.97734) 
163,195 (38.7013) 
162,196 (18.9186) 
164,198 (18.5083) 
163,195 (18.8062) 
163,196 (14.7506) 
163,196 (17.6508) 
163,194 (17.9778) 
162,199 (11.751) 
161,199 (14.3492) 
160,203 (26.3478) 
159,200 (12.9897) 
159,204 (10.1837) 
160,202 (4.85236) 
160,202 (21.956) 
162,202 (21.8468) 
166,199 (17.2476) 
162,202 (19.2125) 
163,200 (16.5404) 
165,198 (30.7311) 
165,198 (12.9908) 
165,198 (10.0188) 
167,198 (11.6126) 
162,204 (12.6802) 
161,205 (8.66099) 
164,204 (11.9123) 
164,203 (7.44142) 
164,202 (18.3714) 
167,201 (42.1039) 
168,199 (7.13715) 
287,322 (23.2152) 
289,325 (24.8701) 
290,325 (3.6949) 
295,331 (20.2764) 
296,331 (22.1784) 
298,332 (18.3225) 
298,332 (18.469) 
298,331 (28.482) 
298,331 (14.7107) 
308,331 (14.5468) 
307,333 (12.6042) 
305,336 (8.52509) 
303,336 (8.44026) 
300,333 (3.43226) 
298,330 (21.9142) 
298,328 (19.958) 
297,326 (35.394) 
297,323 (16.8985) 
297,323 (20.6621) 
298,329 (15.2795) 
298,329 (14.9971) 
298,329 (11.8032) 
299,334 (13.1326) 
297,334 (12.4135) 
297,332 (8.00469) 
297,334 (24.4307) 
302,351 (3.60278) 
299,336 (21.8743) 
299,336 (21.0338) 
300,336 (18.2834) 
302,330 (20.3125) 
554,577 (125.058) 
816,688 (15.8014) 
852,689 (17.065) 
884,665 (11.7995) 
891,646 (12.6885) 
896,645 (10.6873) 
903,617 (18.7501) 
904,626 (16.7601) 
905,618 (13.8733) 
902,625 (15.1133) 
904,632 (15.5494) 
906,640 (10.7911) 
907,643 (14.0574) 
904,640 (12.0673) 
905,639 (7.20346) 
910,640 (41.9418) 
909,642 (5.79472) 
912,646 (23.8169) 
876,628 (22.53) 
467,413 (18.6625) 
456,406 (21.5469) 
446,400 (20.3151) 
440,396 (13.4057) 
427,390 (15.6067) 
417,384 (27.5775) 
410,378 (13.3512) 
403,372 (12.4705) 
398,382 (9.499) 
398,382 (11.5105) 
375,374 (11.4774) 
368,370 (4.53302) 
363,369 (23.3331) 
350,367 (22.2018) 
288,337 (36.6902) 
284,325 (19.1111) 
286,321 (16.4112) 
286,318 (17.6106) 
287,318 (17.607) 
290,324 (11.9216) 
298,332 (15.5715) 
290,338 (13.4779) 
288,332 (8.50117) 
286,326 (27.0261) 
291,321 (6.36284) 
292,317 (24.5514) 
294,318 (8.24078) 
295,322 (4.34811) 
296,326 (22.9759) 
297,321 (23.2144) 
296,323 (17.047) 
297,348 (17.9949) 
330,352 (29.3986) 
335,357 (14.9632) 
425,381 (14.26) 
435,384 (12.0951) 
441,379 (13.3715) 
432,374 (13.5039) 
473,385 (7.61447) 
475,385 (25.2116) 
476,387 (8.01743) 
474,389 (27.7283) 
475,389 (15.1002) 
468,389 (9.72056) 
341,354 (10.9217) 
335,352 (8.84398) 
332,351 (7.03142) 
336,389 (19.2572) 
334,381 (19.893) 
331,377 (13.8864) 
329,358 (30.244) 
320,341 (9.08806) 
318,343 (11.1077) 
318,350 (10.6487) 
318,337 (6.43141) 
318,341 (26.7497) 
318,343 (9.47941) 
318,342 (3.47156) 
