282,357 (8.77002e+007) 
283,360 (13.036) 
284,360 (12.5872) 
289,360 (11.5419) 
292,360 (17.9983) 
289,357 (17.4777) 
287,356 (16.7732) 
285,357 (15.3258) 
285,356 (15.2769) 
282,355 (28.9027) 
282,355 (11.2257) 
285,356 (18.4391) 
289,356 (16.5697) 
293,357 (16.3728) 
293,351 (15.1683) 
293,352 (14.1418) 
288,354 (14.9469) 
290,354 (13.4752) 
283,346 (28.2612) 
282,345 (10.2215) 
285,349 (15.8043) 
307,354 (15.6215) 
312,354 (14.5928) 
318,357 (12.8804) 
321,358 (12.5834) 
325,354 (12.2552) 
327,354 (11.3168) 
328,358 (36.1692) 
329,356 (7.49351) 
328,356 (14.4447) 
310,352 (13.869) 
369,358 (11.4577) 
363,353 (19.9262) 
340,347 (18.7197) 
371,357 (16.7412) 
358,352 (16.6944) 
333,335 (30.5216) 
368,352 (13.4176) 
344,380 (13.6056) 
350,378 (10.8001) 
357,412 (19.358) 
374,435 (17.3615) 
389,451 (16.2542) 
420,465 (15.7331) 
438,473 (16.5866) 
436,489 (30.4831) 
438,489 (11.5235) 
447,487 (17.5574) 
457,495 (17.5675) 
455,494 (16.5012) 
499,500 (14.4838) 
498,491 (14.3922) 
471,491 (13.5769) 
494,487 (12.3682) 
492,485 (27.6853) 
523,492 (16.6501) 
526,493 (16.0144) 
491,486 (14.9533) 
479,479 (13.7967) 
453,472 (13.7192) 
444,468 (12.4548) 
438,467 (10.9707) 
442,470 (18.5998) 
436,470 (33.1809) 
440,483 (15.3975) 
437,489 (14.3996) 
438,491 (13.0168) 
441,494 (12.3303) 
446,496 (13.5489) 
447,496 (10.2977) 
445,495 (17.4872) 
390,451 (17.2137) 
435,463 (31.5041) 
431,464 (13.3058) 
440,465 (11.8088) 
438,464 (19.1193) 
455,477 (18.1616) 
444,490 (16.4619) 
450,493 (15.9097) 
443,491 (15.4275) 
442,487 (14.6816) 
454,466 (29.5231) 
452,463 (10.9305) 
455,461 (18.8543) 
419,457 (17.1225) 
405,463 (15.9224) 
409,464 (15.0814) 
414,471 (14.9277) 
416,472 (13.0027) 
417,474 (13.4435) 
478,483 (26.6292) 
508,481 (16.8423) 
487,483 (16.216) 
505,481 (14.8256) 
488,481 (13.9996) 
462,477 (13.2412) 
439,473 (11.8362) 
432,475 (19.2279) 
428,475 (19.1016) 
422,470 (33.4557) 
426,477 (15.4806) 
425,492 (14.0294) 
425,493 (13.0893) 
432,488 (12.3659) 
431,489 (10.7693) 
438,484 (18.1345) 
431,468 (17.6387) 
356,339 (16.486) 
349,333 (31.3973) 
337,325 (12.8907) 
296,274 (12.1071) 
287,259 (11.1139) 
292,278 (17.7871) 
292,281 (16.9676) 
282,266 (16.2601) 
262,263 (14.8333) 
258,247 (15.0333) 
267,250 (28.739) 
266,253 (11.1587) 
260,253 (18.127) 
266,244 (16.8272) 
271,245 (16.1342) 
283,250 (15.2253) 
282,251 (13.5941) 
283,256 (13.7218) 
300,269 (13.4171) 
319,290 (26.8949) 
313,290 (17.1431) 
317,281 (16.2324) 
313,276 (15.0755) 
315,276 (15.0574) 
298,281 (12.5392) 
294,283 (12.527) 
292,286 (11.7229) 
284,298 (19.071) 
291,286 (34.0315) 
291,288 (14.64) 
293,302 (13.9513) 
294,303 (13.5038) 
296,307 (11.8777) 
295,306 (19.0667) 
280,296 (18.148) 
276,298 (17.1095) 
285,302 (16.9844) 
282,304 (30.7808) 
265,300 (13.0217) 
236,293 (12.0974) 
211,269 (10.3486) 
200,264 (18.1187) 
194,261 (17.2941) 
183,255 (16.0011) 
172,251 (17.0517) 
162,249 (15.4234) 
153,249 (29.6894) 
150,247 (11.4205) 
147,245 (17.8902) 
145,248 (17.1866) 
139,251 (16.243) 
141,254 (15.0814) 
143,253 (14.2199) 
146,249 (13.7181) 
145,254 (12.7176) 
151,254 (27.5293) 
151,255 (16.518) 
162,228 (16.1219) 
165,240 (15.2587) 
166,234 (13.9114) 
177,238 (13.0662) 
190,245 (12.2531) 
194,246 (10.822) 
190,245 (18.8398) 
214,263 (32.4467) 
211,262 (15.339) 
206,258 (15.2986) 
210,252 (12.8749) 
213,251 (12.5232) 
216,251 (11.4248) 
218,250 (18.8764) 
215,246 (17.4205) 
216,246 (17.7899) 
229,241 (31.7137) 
298,242 (13.5941) 
335,243 (11.5138) 
356,243 (19.2284) 
383,244 (18.1219) 
419,245 (16.5347) 
419,235 (16.1753) 
416,238 (15.5649) 
438,248 (14.1167) 
436,250 (29.4458) 
439,250 (10.4705) 
433,238 (18.2039) 
432,238 (17.3411) 
438,243 (15.526) 
436,242 (15.5224) 
421,239 (14.1606) 
424,239 (12.9258) 
419,245 (13.453) 
404,282 (26.5146) 
400,288 (17.1717) 
384,354 (16.211) 
408,400 (14.8706) 
403,409 (14.063) 
397,402 (13.1767) 
394,410 (11.5793) 
408,412 (19.4239) 
410,414 (19.1081) 
409,421 (33.4989) 
421,423 (15.263) 
424,428 (13.6395) 
423,428 (13.1364) 
423,429 (12.1569) 
425,430 (10.5321) 
430,431 (17.9507) 
428,430 (17.8573) 
426,427 (16.9056) 
416,429 (31.5261) 
415,430 (12.6128) 
416,435 (12.6866) 
415,434 (11.3505) 
414,432 (17.7265) 
413,433 (16.9348) 
321,484 (17.03) 
208,517 (15.1327) 
204,519 (15.068) 
195,526 (28.6471) 
188,531 (11.0215) 
181,543 (18.2203) 
181,543 (16.4107) 
180,542 (15.9085) 
202,538 (15.4495) 
205,538 (13.938) 
199,543 (13.4751) 
196,541 (13.3407) 
182,535 (27.3641) 
