x, y, time_span
330,252 ,12.4088  
331,253 ,12.8465  
333,253 ,12.1347  
336,257 ,10.2751  
335,253 ,18.9674  
336,249 ,18.3099  
332,245 ,32.2846  
328,251 ,14.2544  
328,250 ,12.0142  
325,248 ,11.9789  
322,249 ,19.2005  
326,256 ,17.1839  
326,259 ,17.5579  
328,261 ,17.3786  
328,259 ,13.8836  
322,250 ,30.4136  
325,251 ,10.7861  
381,222 ,19.1922  
388,224 ,18.1575  
390,224 ,15.8001  
400,219 ,16.113  
402,219 ,15.6052  
405,219 ,13.9766  
406,216 ,14.2856  
403,227 ,27.139  
404,224 ,18.3238  
408,223 ,17.2912  
406,225 ,15.5531  
401,220 ,15.2617  
395,217 ,14.9203  
399,216 ,12.6116  
397,216 ,13.4685  
401,213 ,13.2891  
408,212 ,26.2448  
424,210 ,15.9673  
427,210 ,13.5851  
440,202 ,14.0148  
429,197 ,14.701  
432,199 ,12.4775  
439,209 ,16.3959  
441,209 ,10.8007  
440,208 ,17.2747  
440,209 ,33.6182  
439,209 ,12.6787  
443,204 ,12.9539  
443,206 ,11.8636  
442,207 ,17.3959  
454,210 ,17.9509  
444,203 ,17.1655  
439,199 ,15.953  
439,198 ,16.3574  
437,194 ,29.7351  
439,196 ,11.9721  
442,204 ,19.0876  
443,204 ,16.6669  
447,207 ,16.9717  
452,205 ,15.9075  
456,205 ,14.2463  
466,205 ,14.0982  
465,208 ,14.1635  
444,211 ,27.3594  
449,210 ,19.036  
456,189 ,15.7399  
444,184 ,15.162  
444,183 ,14.9993  
450,179 ,12.99  
429,177 ,12.4155  
438,179 ,12.5847  
444,178 ,9.65253  
491,155 ,34.1367  
492,154 ,15.1451  
491,155 ,14.8666  
487,160 ,14.0949  
486,163 ,12.2332  
488,164 ,12.0504  
489,169 ,11.3865  
485,172 ,17.441  
486,173 ,17.667  
485,178 ,31.0768  
482,192 ,13.7445  
480,196 ,12.9772  
479,196 ,11.0166  
472,193 ,18.6363  
418,186 ,17.9408  
234,192 ,15.9807  
218,193 ,16.8931  
214,194 ,16.0851  
193,198 ,29.6656  
209,215 ,12.0822  
218,217 ,9.71712  
217,217 ,17.6875  
209,212 ,16.7332  
207,209 ,15.5129  
203,199 ,15.7236  
205,199 ,14.5991  
211,205 ,11.7431  
210,204 ,36.6734  
210,205 ,8.65752  
202,208 ,17.8334  
200,210 ,15.893  
204,215 ,13.5766  
200,216 ,13.5004  
199,216 ,13.2838  
200,214 ,10.793  
198,209 ,19.6387  
184,201 ,33.0165  
183,202 ,15.8009  
184,200 ,14.8672  
181,196 ,12.786  
174,192 ,12.7953  
173,192 ,11.714  
174,195 ,17.7821  
173,197 ,18.6467  
172,187 ,17.9884  
172,192 ,31.9794  
172,190 ,14.2181  
170,187 ,11.9266  
170,182 ,19.9743  
169,182 ,18.9217  
165,177 ,16.6178  
164,173 ,17.014  
165,172 ,16.4378  
167,176 ,14.4213  
169,174 ,30.3572  
162,183 ,11.0847  
161,182 ,18.9053  
162,187 ,17.9117  
168,194 ,15.5026  
169,197 ,15.8287  
171,200 ,15.468  
171,201 ,13.9403  
173,202 ,13.8354  
169,203 ,26.5904  
168,202 ,17.9064  
168,202 ,16.9659  
167,201 ,15.3924  
168,203 ,14.7293  
169,206 ,14.0642  
168,208 ,11.8543  
169,205 ,20.4383  
172,207 ,12.2329  
173,206 ,26.2508  
176,208 ,16.0838  
199,214 ,13.5151  
228,227 ,13.6702  
227,229 ,12.9806  
236,252 ,10.5215  
236,249 ,19.1333  
236,249 ,18.6926  
233,248 ,16.5486  
231,249 ,32.0894  
223,250 ,12.4645  
216,253 ,12.7389  
216,263 ,11.8282  
216,269 ,17.842  
218,275 ,17.5596  
218,270 ,17.1417  
219,270 ,16.2203  
213,281 ,16.0979  
161,320 ,29.1074  
168,315 ,12.2049  
163,319 ,10.8366  
157,328 ,17.0887  
150,339 ,17.0025  
137,358 ,15.7416  
121,359 ,14.0411  
122,360 ,15.0425  
121,359 ,14.7118  
126,374 ,27.8222  
131,378 ,17.9618  
135,379 ,18.6775  
175,402 ,15.6397  
180,403 ,14.9237  
178,403 ,13.0303  
169,409 ,13.2243  
167,409 ,12.6023  
160,424 ,11.5869  
151,422 ,34.2087  
151,425 ,14.9686  
125,408 ,14.7473  
128,413 ,14.0621  
128,415 ,12.0438  
130,416 ,11.8461  
126,415 ,19.4024  
125,411 ,17.7293  
130,412 ,17.4867  
153,416 ,30.9371  
174,422 ,13.5222  
164,417 ,14.2495  
153,415 ,11.3426  
147,413 ,18.7484  
149,415 ,17.9148  
150,420 ,16.1711  
153,422 ,16.9907  
142,422 ,16.5325  
152,426 ,29.743  
159,425 ,11.8531  
160,426 ,17.5949  
166,431 ,17.7145  
165,434 ,16.8629  
150,427 ,14.6303  
143,424 ,15.1502  
149,437 ,14.3798  
152,441 ,12.1268  
160,451 ,27.958  
155,444 ,16.6508  
156,442 ,16.6151  
192,473 ,16.1253  
186,464 ,13.3971  
166,440 ,14.2997  
156,441 ,13.5307  
151,440 ,12.2296  
150,442 ,11.753  
138,422 ,33.2047  
138,431 ,15.7663  
131,435 ,14.851  
131,433 ,12.4701  
131,432 ,12.5739  
131,426 ,12.0263  
133,421 ,9.99905  
135,419 ,18.2692  
141,412 ,18.1531  
142,412 ,31.808  
142,409 ,13.9124  
136,410 ,11.5272  
142,419 ,19.8252  
139,416 ,19.0556  
140,420 ,16.9501  
148,427 ,17.3344  
146,423 ,17.2697  
146,424 ,15.1535  
149,424 ,30.4155  
136,415 ,11.0574  
126,407 ,18.6569  
125,400 ,17.8434  
110,381 ,15.4646  
113,383 ,15.7976  
112,380 ,15.1328  
138,394 ,13.9177  
134,395 ,13.6049  
149,410 ,26.5683  
143,412 ,17.8201  
142,410 ,16.9326  
136,412 ,14.588  
130,414 ,14.8864  
126,412 ,13.9642  
121,409 ,12.6528  
117,404 ,12.4846  
115,402 ,12.4156  
117,405 ,25.7433  
116,405 ,16.9956  
110,398 ,13.469  
111,400 ,15.1123  
112,401 ,12.8815  
121,411 ,10.6678  
128,413 ,19.0577  
132,415 ,18.8244  
134,415 ,15.4668  
133,416 ,32.1079  
137,417 ,13.4631  
143,425 ,12.7325  
146,425 ,11.9446  
154,418 ,17.3884  
169,407 ,17.5554  
185,389 ,17.3419  
204,374 ,15.3459  
241,341 ,15.9453  
300,290 ,29.0514  
314,280 ,11.8188  
314,281 ,20.0491  
313,284 ,8.42416  
319,282 ,16.6956  
308,292 ,15.7896  
310,294 ,14.5343  
322,300 ,14.4734  
330,301 ,14.6991  
336,293 ,29.4076  
340,296 ,10.079  
397,307 ,15.2739  
423,309 ,15.7835  
427,310 ,14.7134  
432,310 ,13.5162  
439,314 ,13.1393  
440,315 ,13.0176  
441,315 ,10.9493  
448,300 ,33.9795  
444,309 ,15.0179  
444,310 ,14.9741  
445,305 ,13.7141  
445,304 ,11.922  
441,306 ,19.8192  
441,305 ,19.3029  
441,305 ,17.4741  
437,291 ,18.8082  
437,290 ,32.6388  
436,288 ,14.8284  
435,285 ,13.3071  
433,274 ,10.7508  
433,283 ,19.0119  
431,284 ,18.0543  
432,280 ,16.3785  
432,285 ,18.2062  
432,293 ,16.2521  
433,295 ,29.9664  
434,300 ,11.9421  
437,303 ,17.5471  
436,301 ,17.8527  
437,300 ,16.9036  
437,299 ,14.985  
425,295 ,15.0545  
421,296 ,14.5715  
342,292 ,11.9909  
313,291 ,36.3853  
315,292 ,8.61493  
300,290 ,16.8376  
299,288 ,15.9385  
295,284 ,13.9326  
295,283 ,13.7161  
294,283 ,13.2374  
290,274 ,11.953  
297,276 ,20.5994  
296,271 ,24.7836  
299,278 ,15.9503  
300,282 ,15.0166  
303,285 ,12.572  
307,292 ,12.8806  
310,297 ,11.9695  
312,297 ,18.177  
314,302 ,18.7692  
319,310 ,18.5573  
320,316 ,31.9945  
321,312 ,14.1559  
324,311 ,11.5243  
328,308 ,19.7645  
327,307 ,18.9681  
324,309 ,16.6248  
324,311 ,17.0604  
323,309 ,16.6138  
321,311 ,15.2165  
321,313 ,30.1838  
320,312 ,11.728  
318,312 ,18.9341  
314,318 ,19.1221  
310,327 ,15.735  
312,321 ,15.9294  
311,317 ,15.4644  
313,311 ,13.3298  
312,311 ,13.9108  
281,298 ,26.8027  
254,286 ,18.0794  
251,288 ,17.4048  
249,287 ,15.4246  
236,292 ,14.9989  
231,296 ,14.1456  
223,299 ,12.6538  
221,300 ,12.9431  
221,302 ,12.4362  
223,304 ,27.4052  
221,309 ,17.4195  
221,312 ,13.978  
211,314 ,13.8885  
