338,145 (1.01402e+008) 
339,145 (13.2309) 
340,145 (13.7982) 
339,144 (13.7061) 
341,144 (9.3195) 
336,133 (17.9745) 
335,133 (16.1312) 
332,139 (12.8902) 
327,134 (15.2212) 
327,136 (27.3596) 
328,146 (20.1788) 
330,150 (12.0157) 
335,156 (8.09782) 
334,157 (18.9245) 
334,158 (17.0456) 
335,159 (12.0094) 
335,160 (13.1831) 
336,160 (12.2293) 
336,162 (27.2402) 
337,161 (18.2261) 
337,162 (15.2136) 
338,163 (17.5501) 
342,165 (16.4573) 
343,167 (10.8882) 
344,169 (20.2612) 
344,169 (11.3763) 
345,170 (15.8531) 
352,185 (33.4009) 
365,203 (15.5982) 
374,226 (15.8499) 
384,238 (16.0973) 
385,239 (10.7613) 
387,244 (21.8005) 
392,249 (12.5174) 
394,250 (6.80033) 
395,251 (17.7792) 
394,261 (29.3912) 
395,261 (14.1907) 
396,262 (26.0917) 
397,260 (20.2243) 
396,262 (21.7476) 
393,260 (15.1531) 
388,262 (46.2503) 
383,267 (12.3928) 
381,270 (9.55945) 
374,277 (19.5577) 
372,282 (17.9842) 
367,291 (12.679) 
366,294 (14.9343) 
364,305 (13.2851) 
363,310 (10.1164) 
362,318 (36.1864) 
362,319 (8.31339) 
361,322 (33.3356) 
361,322 (11.6617) 
361,321 (36.1909) 
359,323 (8.93368) 
360,325 (47.1413) 
358,317 (15.8275) 
358,321 (15.6392) 
358,320 (11.5845) 
358,321 (22.4714) 
359,322 (11.3541) 
359,322 (15.4798) 
361,324 (17.1573) 
360,325 (15.9982) 
361,327 (31.1045) 
360,327 (14.3803) 
358,327 (10.8918) 
355,326 (21.2189) 
354,326 (11.8238) 
354,325 (14.7285) 
353,325 (16.0041) 
353,325 (15.5446) 
352,324 (11.8418) 
352,322 (37.2976) 
354,322 (10.2791) 
361,322 (19.5764) 
378,334 (19.3453) 
380,335 (14.4148) 
374,334 (15.3486) 
376,339 (14.151) 
377,341 (10.7583) 
378,342 (19.9936) 
375,343 (33.2443) 
375,339 (17.8856) 
375,340 (17.5793) 
378,344 (13.7388) 
378,346 (15.2893) 
379,347 (15.7373) 
378,347 (10.9346) 
373,349 (19.6961) 
