x, y, time_span
145,305 ,15.0281  
154,281 ,30.6288  
156,285 ,12.3535  
159,287 ,11.971  
170,298 ,11.9238  
174,299 ,10.3443  
177,299 ,10.2441  
177,299 ,10.1768  
181,303 ,7.39518  
181,303 ,21.6108  
176,307 ,36.1621  
181,313 ,18.6467  
182,312 ,17.7027  
185,309 ,16.9512  
173,317 ,16.5383  
170,318 ,17.5235  
167,321 ,14.6354  
167,324 ,13.8402  
173,340 ,11.8189  
158,333 ,27.0685  
150,328 ,8.84198  
150,329 ,7.42971  
153,336 ,23.5031  
155,337 ,22.9508  
181,358 ,21.7015  
186,363 ,21.8839  
187,362 ,20.5333  
175,354 ,17.4685  
203,368 ,32.4786  
224,365 ,14.1961  
224,363 ,14.0253  
252,375 ,12.9987  
240,376 ,12.7129  
242,375 ,12.2231  
216,376 ,12.329  
213,377 ,9.22489  
226,383 ,7.79893  
211,371 ,38.5156  
210,368 ,20.7249  
228,363 ,19.5893  
227,383 ,19.1102  
220,410 ,18.5374  
214,419 ,33.4329  
210,412 ,17.4939  
227,381 ,14.9239  
241,391 ,29.1253  
252,369 ,10.998  
244,375 ,10.6249  
251,380 ,10.6068  
282,390 ,23.9396  
277,397 ,23.6653  
232,355 ,35.0151  
201,342 ,48.0322  
203,339 ,21.3969  
187,349 ,28.4347  
200,353 ,7.60417  
216,363 ,18.6107  
219,365 ,28.3748  
232,373 ,10.599  
252,386 ,24.7982  
247,381 ,7.40649  
215,375 ,37.4206  
204,375 ,22.9805  
202,380 ,22.4355  
198,389 ,21.7973  
188,394 ,22.389  
188,405 ,17.2749  
174,404 ,31.1231  
160,396 ,13.4448  
172,378 ,13.5276  
172,367 ,13.4582  
170,363 ,13.5508  
160,352 ,11.6587  
143,348 ,12.0943  
103,336 ,8.63914  
100,344 ,6.73292  
140,350 ,36.1675  
139,377 ,18.5675  
115,379 ,17.3588  
135,379 ,17.0653  
124,372 ,15.9387  
108,356 ,15.7824  
99,351 ,29.1824  
100,360 ,11.2826  
70,370 ,26.1601  
125,389 ,8.35779  
158,445 ,22.5951  
156,441 ,22.2353  
87,396 ,21.911  
95,395 ,20.6774  
95,391 ,19.0321  
98,385 ,17.5428  
90,375 ,32.3246  
