x, y, time_span
276,350 ,18.6474  
280,349 ,17.0367  
281,349 ,16.1855  
282,346 ,15.4135  
281,338 ,14.7735  
282,335 ,29.3359  
282,329 ,13.987  
279,323 ,12.7928  
278,321 ,8.27921  
278,320 ,16.2055  
279,321 ,15.2175  
279,321 ,12.11  
280,319 ,12.2843  
281,318 ,11.4498  
280,320 ,35.1432  
280,318 ,16.0242  
282,322 ,14.1813  
298,342 ,13.8552  
300,344 ,14.2618  
311,357 ,12.2696  
312,352 ,12.1638  
315,356 ,11.6569  
318,358 ,17.7485  
319,356 ,36.4698  
324,359 ,8.61988  
325,358 ,18.4291  
324,354 ,16.2407  
323,343 ,13.5317  
320,336 ,13.9276  
316,336 ,13.3586  
309,337 ,10.7429  
297,348 ,20.0339  
291,356 ,24.7744  
292,359 ,17.104  
303,357 ,14.5879  
311,358 ,12.219  
309,352 ,12.5378  
303,347 ,25.6038  
314,341 ,17.8448  
315,329 ,14.9499  
325,320 ,29.8757  
333,326 ,11.786  
336,327 ,16.8706  
339,330 ,17.5786  
333,296 ,29.7709  
325,266 ,13.9225  
322,261 ,13.1201  
331,280 ,12.1256  
345,302 ,28.2096  
347,306 ,7.9662  
332,331 ,31.0973  
324,325 ,13.2099  
321,330 ,12.6397  
324,326 ,11.9861  
326,329 ,18.3429  
324,331 ,18.5779  
308,323 ,33.2296  
307,323 ,14.6447  
305,321 ,13.7277  
302,321 ,13.009  
298,321 ,11.3581  
284,320 ,18.8987  
294,324 ,16.9967  
299,328 ,16.9957  
294,319 ,16.2839  
319,327 ,48.0059  
320,334 ,10.8867  
316,335 ,28.0362  
322,339 ,4.12104  
320,340 ,4.46202  
322,338 ,1.83635  
319,331 ,16.6986  
314,327 ,16.1387  
308,325 ,14.4967  
317,324 ,28.7973  
316,319 ,9.10354  
314,317 ,17.0786  
308,316 ,15.8382  
303,312 ,14.009  
293,298 ,13.3596  
295,296 ,12.845  
299,295 ,11.3562  
295,315 ,18.8924  
297,315 ,34.1159  
298,310 ,15.6153  
302,300 ,14.7987  
305,295 ,12.8266  
305,291 ,12.3582  
310,285 ,11.6798  
297,292 ,18.0092  
293,303 ,17.362  
285,311 ,20.7189  
281,308 ,26.9567  
286,305 ,18.5323  
288,300 ,16.1749  
296,279 ,14.6108  
298,285 ,13.8088  
302,302 ,12.5671  
300,310 ,12.0833  
291,303 ,12.8076  
290,299 ,9.79972  
291,304 ,33.9799  
293,309 ,14.2694  
292,309 ,13.6607  
290,301 ,13.1007  
298,308 ,10.9875  
303,314 ,18.966  
302,312 ,19.4486  
294,308 ,16.4942  
294,306 ,15.9488  
298,306 ,31.5131  
296,304 ,14.9143  
298,308 ,14.4651  
297,309 ,10.0429  
297,310 ,18.5932  
297,315 ,17.7031  
296,316 ,16.508  
297,314 ,14.7716  
298,306 ,14.8792  
308,308 ,29.8068  
301,304 ,12.8713  
