352,236 (1.66543e+008) 
350,238 (34.3435) 
350,237 (16.5446) 
344,237 (11.9733) 
329,237 (29.3705) 
320,239 (10.6881) 
310,239 (24.9314) 
309,241 (5.16961) 
294,243 (38.0665) 
292,240 (16.4004) 
290,241 (33.9982) 
293,247 (13.2917) 
294,249 (15.4422) 
296,249 (15.9475) 
296,248 (9.91957) 
297,247 (13.3223) 
296,247 (24.2799) 
298,248 (9.86589) 
297,249 (9.12717) 
298,250 (5.69509) 
298,249 (22.7777) 
298,246 (22.1177) 
298,245 (17.3543) 
295,242 (20.1254) 
291,238 (19.4709) 
292,239 (34.4972) 
289,236 (16.0941) 
305,238 (11.2345) 
303,235 (14.1248) 
301,233 (13.1436) 
305,236 (9.839) 
314,238 (10.9268) 
317,237 (10.9095) 
286,246 (5.47943) 
227,300 (40.3983) 
215,311 (2.10989) 
195,333 (20.5918) 
173,362 (20.3017) 
114,413 (15.3959) 
127,431 (17.1633) 
121,428 (17.2871) 
111,425 (12.1654) 
109,424 (14.4138) 
105,423 (26.3636) 
113,426 (11.3933) 
146,444 (10.8427) 
143,442 (8.19365) 
151,445 (8.30639) 
157,447 (7.91791) 
146,439 (19.8965) 
155,445 (22.1646) 
158,445 (21.851) 
167,444 (35.4276) 
160,443 (17.9037) 
159,444 (13.1348) 
161,444 (15.4003) 
163,446 (14.9088) 
163,445 (10.4533) 
168,447 (12.999) 
165,448 (15.723) 
165,448 (9.78868) 
152,453 (26.0343) 
145,452 (4.38906) 
154,454 (22.5768) 
155,454 (23.8455) 
144,452 (17.8184) 
147,452 (26.9521) 
149,453 (6.0698) 
147,452 (18.4825) 
153,455 (19.3577) 
146,454 (32.1325) 
150,456 (15.3274) 
151,456 (29.1666) 
154,457 (12.7101) 
153,456 (16.514) 
156,458 (9.5486) 
156,457 (9.57667) 
156,458 (9.2934) 
156,461 (22.7601) 
157,461 (22.4246) 
145,458 (18.0209) 
154,460 (19.2267) 
155,459 (16.8775) 
145,455 (12.4994) 
145,453 (14.7812) 
150,454 (14.143) 
144,453 (11.2382) 
147,456 (28.1591) 
138,461 (6.35605) 
140,464 (24.0686) 
150,464 (7.87818) 
138,461 (19.7734) 
140,462 (21.1396) 
146,462 (21.2344) 
145,460 (16.4727) 
154,461 (18.3833) 
151,460 (30.1838) 
150,459 (15.3217) 
151,459 (15.1787) 
145,457 (9.89526) 
151,459 (12.4375) 
159,460 (11.9862) 
151,454 (7.48366) 
157,453 (26.2705) 
159,454 (9.56088) 
163,460 (23.51) 
152,454 (21.9471) 
147,454 (17.1979) 
146,454 (19.4147) 
151,455 (18.7564) 
143,454 (14.51) 
147,454 (16.93) 
146,455 (16.4085) 
141,453 (11.0618) 
142,453 (29.9439) 
139,453 (9.64662) 
149,457 (10.3213) 
153,461 (10.4807) 
145,459 (5.49832) 
150,462 (23.6202) 
153,462 (23.6713) 
146,461 (18.7232) 
151,460 (21.2372) 
150,461 (32.1128) 
161,467 (17.7612) 
158,467 (18.6241) 
144,465 (14.3362) 
150,466 (15.9783) 
155,466 (15.5782) 
146,464 (11.6937) 
155,462 (13.5808) 
157,462 (12.7232) 
167,463 (26.635) 
170,464 (9.37457) 
164,463 (4.6715) 
166,462 (22.9336) 
165,460 (22.4742) 
153,460 (19.5737) 
153,459 (18.8768) 
157,458 (18.7728) 
148,458 (14.0427) 
153,456 (31.8638) 
147,457 (11.8736) 
158,454 (14.1969) 
161,453 (13.9205) 
149,454 (10.0569) 
154,454 (9.41482) 
157,454 (9.83847) 
153,451 (6.56718) 
161,452 (24.5518) 
145,452 (19.565) 
149,452 (21.2964) 
150,453 (18.8834) 
145,452 (14.1025) 
145,453 (16.1799) 
151,454 (15.9441) 
152,454 (11.6079) 
154,455 (13.625) 
157,456 (13.405) 
164,460 (27.3883) 
163,459 (10.3789) 
152,457 (5.16478) 
161,457 (23.8559) 
166,457 (23.0962) 
154,459 (18.4945) 
162,458 (20.8562) 
164,458 (20.7415) 
155,459 (15.1916) 
162,461 (33.8821) 
164,457 (11.6613) 
166,444 (29.7928) 
155,443 (9.3613) 
337,303 (27.2551) 
454,212 (5.75056) 
474,195 (24.7299) 
479,191 (19.7102) 
495,193 (21.1059) 
495,195 (20.6631) 
481,190 (15.898) 
479,190 (18.3782) 
471,184 (17.9166) 
470,183 (14.2173) 
469,183 (15.7904) 
464,177 (15.0932) 
463,174 (30.0883) 
463,176 (11.979) 
463,175 (6.57026) 
463,173 (25.426) 
462,165 (8.74969) 
462,162 (12.3662) 
462,162 (7.01138) 
462,162 (22.1268) 
462,160 (16.9371) 
462,161 (35.8273) 
462,163 (13.9704) 
462,165 (16.4617) 
462,165 (15.8783) 
462,165 (11.2128) 
463,163 (13.6024) 
464,161 (13.1237) 
463,162 (8.0618) 
463,161 (38.3969) 
461,154 (39.0107) 
462,156 (18.2935) 
463,159 (36.2852) 
462,162 (16.2604) 
463,162 (18.3856) 
465,159 (17.5631) 
471,154 (31.5045) 
464,155 (14.3505) 
464,155 (11.3906) 
463,157 (13.0929) 
466,161 (12.3794) 
466,161 (6.59393) 
465,161 (26.5624) 
464,162 (9.48241) 
463,159 (4.6566) 
462,157 (40.0065) 
462,157 (1.11856) 
463,161 (18.2957) 
463,159 (17.6648) 
463,157 (13.3196) 
462,154 (15.2474) 
461,149 (15.0958) 
459,146 (9.99415) 
459,143 (13.2125) 
458,141 (24.2612) 
457,141 (9.43841) 
457,142 (9.74531) 
458,148 (4.01543) 
457,148 (22.5632) 
458,152 (21.9853) 
461,153 (17.414) 
463,156 (19.8779) 
463,158 (19.2098) 
462,158 (33.5296) 
462,158 (15.5238) 
464,158 (10.931) 
464,159 (13.2342) 
465,159 (12.723) 
465,153 (8.29705) 
465,153 (10.9351) 
464,156 (9.88247) 
464,156 (4.89286) 
465,157 (39.6129) 
466,157 (18.2854) 
466,158 (20.6544) 
466,159 (20.609) 
465,159 (15.3452) 
464,152 (17.6082) 
464,153 (17.3399) 
464,152 (12.1189) 
459,153 (15.0243) 
460,158 (25.99) 
461,157 (11.3626) 
462,156 (10.5144) 
462,154 (5.91014) 
462,155 (24.4143) 
463,153 (7.84111) 
464,153 (19.5982) 
462,152 (21.7376) 
461,151 (20.8731) 
479,143 (130.587) 
387,44 (19.5126) 
401,97 (16.1532) 
405,95 (25.8185) 
418,128 (8.55972) 
419,140 (6.6411) 
418,145 (21.562) 
413,149 (17.0894) 
404,155 (19.6748) 
406,153 (19.1833) 
409,152 (14.1043) 
411,153 (18.0257) 
410,154 (30.8595) 
408,156 (13.6093) 
407,155 (12.8573) 
407,154 (8.50963) 
409,154 (11.9645) 
411,153 (11.94) 
411,154 (8.44756) 
409,153 (7.92181) 
409,152 (24.3946) 
408,152 (21.7856) 
410,151 (20.5521) 
411,151 (15.0669) 
411,152 (18.5345) 
412,152 (16.663) 
409,156 (13.5931) 
406,160 (15.2433) 
404,157 (14.3138) 
404,156 (9.03895) 
406,156 (27.6495) 
407,156 (6.08765) 
408,156 (24.5397) 
410,158 (7.63929) 
409,161 (19.248) 
410,164 (21.6786) 
410,163 (21.1092) 
409,162 (16.2702) 
408,163 (46.0454) 
403,155 (42.0019) 
403,155 (27.7956) 
569,220 (8.69794) 
626,241 (10.3267) 
626,241 (40.1234) 
626,241 (5.61546) 
623,241 (16.8363) 
608,239 (19.8143) 
591,229 (18.7347) 
545,201 (14.2562) 
524,184 (17.8705) 
492,159 (16.5246) 
477,149 (11.1022) 
434,120 (29.8393) 
440,141 (8.07388) 
434,123 (10.4806) 
435,130 (10.8255) 
438,137 (5.45444) 
441,148 (39.3589) 
437,150 (18.5506) 
440,145 (48.0253) 
433,149 (17.882) 
435,150 (16.6125) 
432,149 (11.9458) 
418,155 (31.5724) 
389,160 (9.4769) 
378,165 (26.9738) 
365,167 (39.8933) 
364,163 (26.4826) 
365,162 (5.72952) 
370,165 (20.6329) 
364,167 (16.0521) 
365,167 (34.1152) 
364,164 (13.1239) 
