x, y, time_span
325,332 ,15.8898  
323,330 ,15.8627  
322,328 ,14.5393  
320,327 ,13.0437  
318,328 ,12.423  
317,328 ,11.6389  
319,328 ,18.6415  
320,324 ,19.8045  
312,320 ,32.9274  
314,319 ,16.0535  
314,315 ,13.4845  
313,315 ,11.8678  
313,315 ,19.4049  
317,315 ,18.4344  
320,314 ,17.218  
316,311 ,17.3799  
317,312 ,16.4662  
314,313 ,30.4577  
317,321 ,12.2388  
268,305 ,10.8  
235,292 ,18.5125  
209,279 ,17.5296  
194,277 ,15.7568  
183,275 ,15.9923  
180,274 ,15.3318  
177,272 ,13.76  
179,274 ,29.3419  
180,274 ,10.1604  
233,293 ,17.7818  
274,310 ,17.3796  
299,320 ,14.6959  
307,324 ,14.8399  
314,327 ,14.0349  
312,329 ,12.5221  
364,357 ,12.9094  
291,332 ,25.8924  
263,339 ,16.4442  
259,342 ,15.6045  
269,342 ,13.6594  
277,310 ,13.5327  
282,306 ,13.0642  
283,305 ,11.2307  
278,311 ,19.0206  
301,314 ,18.8446  
331,324 ,32.674  
331,320 ,14.7887  
334,318 ,12.758  
272,275 ,12.6227  
319,313 ,11.7707  
312,308 ,17.746  
292,292 ,18.0597  
316,313 ,17.6619  
320,320 ,16.3381  
333,328 ,30.522  
336,323 ,14.1985  
337,323 ,11.2608  
335,325 ,18.4827  
327,331 ,16.7467  
325,328 ,16.4267  
327,330 ,15.8171  
328,331 ,15.589  
304,315 ,13.826  
323,343 ,27.708  
326,344 ,18.1358  
332,338 ,17.2127  
338,336 ,15.8385  
342,335 ,16.2459  
344,327 ,15.6705  
342,330 ,14.2891  
341,332 ,13.1607  
342,335 ,13.971  
335,338 ,26.0965  
328,343 ,17.4284  
323,342 ,14.7156  
325,346 ,15.0764  
324,345 ,13.3536  
330,349 ,11.7305  
327,348 ,19.4674  
331,349 ,19.2393  
336,349 ,17.5781  
341,347 ,32.2469  
347,348 ,13.6115  
342,347 ,13.0443  
343,347 ,12.1948  
339,345 ,10.591  
310,332 ,18.0485  
306,328 ,17.64  
311,328 ,16.3675  
312,326 ,15.9517  
309,330 ,29.6596  
308,331 ,12.0471  
307,339 ,11.9713  
309,351 ,17.619  
310,356 ,18.2907  
313,356 ,16.3524  
326,358 ,15.9567  
324,356 ,15.1354  
333,342 ,14.9745  
334,332 ,28.297  
335,333 ,10.4083  
333,335 ,16.8622  
324,354 ,16.1714  
311,369 ,15.3655  
312,367 ,13.8515  
314,366 ,13.6653  
316,365 ,13.1964  
319,370 ,11.5737  
317,365 ,34.3435  
321,369 ,15.8407  
330,368 ,15.0896  
327,365 ,14.1892  
326,366 ,12.7628  
320,364 ,11.8928  
321,365 ,19.4757  
309,367 ,18.6104  
307,367 ,18.4148  
314,367 ,31.7993  
319,368 ,15.0268  
330,372 ,13.5589  
332,374 ,11.7481  
332,373 ,19.1005  
329,372 ,18.3365  
326,372 ,16.9418  
326,372 ,16.7487  
323,371 ,16.5219  
317,365 ,30.0652  
317,365 ,12.3244  
317,365 ,10.6466  
315,363 ,18.235  
313,362 ,17.318  
313,362 ,15.7406  
311,363 ,15.6032  
311,363 ,15.0445  
305,362 ,14.0937  
300,359 ,28.2386  
300,356 ,9.68193  
301,355 ,18.1188  
303,357 ,16.2515  
302,356 ,15.1395  
300,352 ,14.2211  
302,349 ,13.6911  
304,349 ,12.5983  
310,350 ,12.3142  
314,356 ,25.9485  
305,373 ,16.298  
307,377 ,15.3989  
310,389 ,13.6039  
308,389 ,13.1406  
308,388 ,12.2924  
302,394 ,11.0927  
299,395 ,19.1361  
310,398 ,18.3846  
296,398 ,32.3401  
300,399 ,14.4574  
298,398 ,12.7487  
313,394 ,12.2029  
326,390 ,11.5522  
326,389 ,18.0771  
318,390 ,17.9285  
318,390 ,17.0436  
318,390 ,16.1244  
321,391 ,30.4733  
333,392 ,12.018  
339,393 ,11.3451  
336,396 ,18.6599  
336,396 ,16.9268  
339,396 ,16.579  
339,401 ,15.8993  
342,405 ,14.4896  
343,407 ,14.7148  
339,409 ,27.6982  
328,412 ,17.9733  
308,410 ,17.4224  
298,409 ,16.1358  
300,409 ,14.9549  
313,409 ,14.2239  
317,409 ,13.2384  
318,409 ,12.7024  
320,410 ,12.4743  
325,413 ,26.2155  
321,413 ,16.2785  
313,412 ,15.264  
304,407 ,14.1288  
310,407 ,13.3546  
312,408 ,11.9282  
321,407 ,19.7407  
328,409 ,19.2556  
332,405 ,18.4527  
346,404 ,33.0185  
346,403 ,13.6984  
340,402 ,13.1774  
324,405 ,12.2924  
296,400 ,10.7518  
298,398 ,18.1183  
318,385 ,17.5023  
328,374 ,17.0951  
326,366 ,17.44  
329,363 ,32.9368  
336,366 ,12.1118  
349,368 ,11.2816  
346,372 ,17.7761  
345,374 ,17.1584  
344,373 ,16.1609  
344,374 ,15.3388  
338,374 ,14.5731  
330,373 ,14.369  
325,372 ,28.3245  
314,377 ,10.6441  
317,374 ,16.7994  
319,375 ,16.3588  
319,377 ,15.5328  
318,382 ,13.6719  
321,382 ,13.4075  
326,385 ,13.2234  
327,385 ,11.8603  
343,374 ,34.2662  
342,378 ,15.6552  
339,376 ,15.1162  
332,378 ,14.0781  
334,379 ,12.7261  
335,381 ,12.0939  
328,383 ,11.5886  
321,382 ,18.2033  
319,381 ,18.4918  
323,381 ,32.0107  
326,381 ,14.4551  
329,377 ,13.5821  
329,376 ,11.8803  
327,376 ,19.426  
309,389 ,18.5393  
309,389 ,17.5196  
316,385 ,17.1299  
321,383 ,17.716  
323,383 ,30.3898  
329,384 ,12.1193  
336,383 ,10.6634  
332,375 ,18.1889  
334,372 ,17.4588  
333,369 ,15.8793  
335,371 ,15.4852  
335,371 ,15.1613  
337,373 ,13.7645  
336,374 ,28.2541  
327,374 ,9.76584  
326,375 ,17.0335  
325,374 ,16.0515  
327,374 ,14.6251  
325,374 ,14.3234  
328,374 ,13.9059  
327,374 ,12.3328  
328,373 ,12.4973  
336,376 ,25.8258  
341,374 ,16.9054  
342,374 ,15.4178  
345,377 ,13.9085  
344,375 ,13.1732  
334,379 ,12.3194  
329,381 ,11.0495  
328,381 ,18.9643  
329,381 ,18.8067  
321,383 ,33.7437  
320,385 ,14.2056  
