x, y, time_span
322,316 ,12.6976  
319,315 ,10.9975  
320,315 ,18.29  
325,313 ,17.4858  
326,314 ,15.7862  
328,313 ,15.4349  
333,309 ,14.7633  
336,308 ,29.6498  
329,309 ,11.3365  
325,309 ,17.7206  
323,307 ,16.8536  
310,305 ,16.3642  
314,308 ,14.8373  
315,311 ,14.4211  
314,313 ,13.6597  
328,321 ,12.7961  
327,324 ,28.3809  
330,325 ,8.8368  
328,324 ,16.332  
324,331 ,15.4817  
324,329 ,13.794  
323,325 ,13.2751  
326,324 ,12.5513  
327,326 ,10.9975  
332,327 ,19.398  
333,341 ,32.4905  
326,351 ,15.4003  
320,358 ,14.4144  
317,361 ,12.6168  
320,360 ,12.3275  
320,361 ,11.5016  
339,343 ,17.1626  
341,346 ,17.6179  
313,347 ,17.1173  
323,347 ,32.1984  
332,345 ,13.1238  
339,345 ,12.2654  
319,343 ,11.1375  
389,362 ,18.7058  
377,357 ,16.6102  
370,354 ,16.5245  
357,349 ,16.0385  
339,345 ,14.6857  
327,390 ,30.6759  
328,391 ,11.2905  
334,385 ,18.5098  
355,392 ,17.5496  
419,461 ,15.5852  
423,526 ,15.0193  
437,536 ,14.349  
468,540 ,12.6296  
542,544 ,13.0794  
490,547 ,26.854  
484,550 ,18.471  
501,556 ,15.9481  
495,548 ,14.5628  
504,541 ,13.8694  
502,541 ,13.135  
496,536 ,11.6992  
495,526 ,20.2554  
508,514 ,10.5972  
502,507 ,33.4067  
468,496 ,15.7075  
442,489 ,13.7085  
425,484 ,13.0313  
416,482 ,12.0151  
416,484 ,10.365  
411,485 ,17.838  
408,486 ,19.4317  
411,486 ,16.9943  
394,492 ,31.7547  
380,485 ,12.3855  
377,483 ,11.8024  
385,483 ,19.0697  
398,482 ,17.3726  
412,483 ,16.6082  
417,481 ,16.0478  
423,478 ,14.6804  
429,475 ,15.1349  
428,476 ,29.007  
413,470 ,11.0263  
417,473 ,18.5455  
428,476 ,16.6962  
422,474 ,16.4445  
422,473 ,15.0447  
432,475 ,13.9292  
420,471 ,13.3436  
434,477 ,13.006  
434,480 ,27.0812  
433,481 ,17.033  
434,482 ,15.5515  
424,476 ,15.0172  
422,475 ,14.0736  
426,477 ,12.382  
420,471 ,11.752  
414,471 ,19.0975  
399,473 ,18.047  
435,487 ,33.8521  
438,487 ,14.3546  
483,491 ,13.8468  
481,490 ,13.0636  
545,522 ,11.34  
511,512 ,18.777  
507,511 ,18.0717  
537,519 ,17.6669  
515,514 ,16.7507  
540,524 ,30.2991  
528,521 ,12.8483  
515,519 ,11.9544  
539,514 ,18.2911  
519,510 ,17.9509  
500,510 ,16.9231  
480,511 ,15.6353  
473,511 ,15.6685  
469,510 ,14.8729  
467,507 ,29.3484  
