x, y, time_span
137,628 ,17.0903  
137,628 ,14.9172  
130,613 ,14.2516  
135,621 ,13.0639  
143,630 ,28.0821  
156,640 ,10.5235  
159,641 ,17.9088  
155,639 ,17.274  
156,641 ,15.7189  
162,643 ,14.0291  
163,643 ,13.2959  
160,638 ,12.2733  
159,638 ,10.8734  
160,637 ,34.0939  
152,633 ,16.0521  
154,625 ,16.0481  
150,629 ,15.4338  
153,632 ,12.5936  
187,592 ,12.0824  
392,348 ,11.7769  
402,342 ,17.73  
404,339 ,17.4758  
415,327 ,32.1309  
422,338 ,20.8046  
409,330 ,16.3689  
411,332 ,13.9508  
415,340 ,13.6573  
418,342 ,13.6644  
419,343 ,11.7633  
420,341 ,21.0538  
421,332 ,17.065  
433,334 ,37.6774  
434,333 ,11.6027  
437,330 ,15.4273  
437,328 ,11.7032  
435,330 ,14.8055  
427,332 ,4.53736  
427,330 ,7.43485  
428,332 ,14.3519  
422,353 ,13.6529  
439,358 ,29.5512  
440,349 ,10.6413  
368,289 ,18.37  
374,292 ,18.381  
376,289 ,14.5683  
375,287 ,14.6011  
392,290 ,13.3603  
381,309 ,12.0519  
380,306 ,10.9262  
376,320 ,33.4979  
374,323 ,16.5193  
368,333 ,15.9084  
361,347 ,14.3495  
361,335 ,13.4008  
362,334 ,12.006  
358,330 ,10.5403  
350,327 ,17.9033  
349,324 ,17.2181  
344,323 ,31.8454  
271,312 ,14.0196  
439,404 ,197.203  
309,483 ,8.3247  
340,447 ,14.7268  
369,401 ,13.3804  
374,361 ,12.6259  
377,339 ,27.402  
380,334 ,17.9645  
376,326 ,17.2946  
379,322 ,19.6949  
379,321 ,14.8486  
381,318 ,13.8186  
382,320 ,12.4897  
383,326 ,11.7754  
383,325 ,18.8913  
382,321 ,34.1045  
383,312 ,16.6084  
384,311 ,15.7439  
382,312 ,15.1942  
378,311 ,13.4604  
377,311 ,12.4458  
378,316 ,11.1067  
379,320 ,18.6228  
379,325 ,16.7021  
370,326 ,32.0889  
370,325 ,17.3875  
367,325 ,17.6153  
370,329 ,18.1027  
