"","data.circle","data.time_span","data.color"
"1","bottom-left",4485.9618,"Green"
"2","bottom-right",7551.79593,"Red"
"3","center",11123.4726,"Yellow"
"4","none",20450.75212,"white"
"5","top-left",6380.09783,"Orange"
"6","top-right",7949.67102,"Blue"
