"","data.circle","data.time_span","data.color"
"1","bottom-left",5399.65457,"Yellow"
"2","bottom-right",8586.9249381,"Orange"
"3","center",16825.18554,"Red"
"4","none",12683.98643,"white"
"5","top-left",5122.76648,"Green"
"6","top-right",5779.82442,"Blue"
