"","data.circle","data.time_span","data.color"
"1","bottom-left",5555.53849,"Green"
"2","bottom-right",8659.96225,"Yellow"
"3","center",11056.52538,"Blue"
"4","none",13914.42216,"white"
"5","top-left",4696.50804,"Orange"
"6","top-right",10577.55714,"Red"
