"","data.circle","data.time_span","data.color"
"1","bottom-left",5384.32371,"Yellow"
"2","bottom-right",9249.339674,"Orange"
"3","center",9948.56472,"Red"
"4","none",15956.37159815,"white"
"5","top-left",8641.24874,"Blue"
"6","top-right",2049.69727,"Green"
