"","data.circle","data.time_span","data.color"
"1","bottom-left",1896.51509,"Red"
"2","bottom-right",7648.70148,"Blue"
"3","center",10694.789872,"Yellow"
"4","none",16052.773857,"white"
"5","top-left",2854.05248,"Green"
"6","top-right",15308.77809,"Orange"
