"","data.circle","data.time_span","data.color"
"1","bottom-left",10169.51418,"Blue"
"2","bottom-right",3931.91931,"Red"
"3","center",12275.52915,"Yellow"
"4","none",18004.22647,"white"
"5","top-left",5798.21936,"Green"
"6","top-right",8396.2381,"Orange"
