"","data.circle","data.time_span","data.color"
"1","bottom-left",1828.80408,"Green"
"2","bottom-right",5375.724233,"Blue"
"3","center",9597.888399,"Yellow"
"4","none",21035.97183,"white"
"5","top-left",11609.94265,"Red"
"6","top-right",4882.34515,"Orange"
