"","data.circle","data.time_span","data.color"
"1","bottom-left",5222.06024,"Orange"
"2","bottom-right",5698.61407,"Green"
"3","center",14175.45073,"Red"
"4","none",17648.8992792,"white"
"5","top-left",1149.74639,"Blue"
"6","top-right",7413.54152,"Yellow"
