"","data.circle","data.time_span","data.color"
"1","bottom-left",4388.971347,"Yellow"
"2","bottom-right",6506.963431,"Blue"
"3","center",19394.52526,"Orange"
"4","none",15383.786448,"white"
"5","top-left",5659.45663,"Green"
"6","top-right",5326.63672,"Red"
