"","data.circle","data.time_span","data.color"
"1","bottom-left",2060.87434,"Yellow"
"2","bottom-right",11045.8881,"Red"
"3","center",13444.62328,"Blue"
"4","none",16509.516889,"white"
"5","top-left",5172.34231,"Orange"
"6","top-right",6194.784772,"Green"
