"","data.circle","data.time_span","data.color"
"1","bottom-left",4450.2524,"Red"
"2","bottom-right",9570.88696,"Orange"
"3","center",9483.64317,"Green"
"4","none",20870.512072,"white"
"5","top-left",6535.85293,"Blue"
"6","top-right",5452.24984,"Yellow"
