"","data.circle","data.time_span","data.color"
"1","bottom-left",3505.83608,"Blue"
"2","bottom-right",5437.06308,"Orange"
"3","center",8713.34501,"Yellow"
"4","none",18435.32135,"white"
"5","top-left",5531.88619,"Red"
"6","top-right",15604.70512,"Green"
