"","data.circle","data.time_span","data.color"
"1","bottom-left",644.53217,"Yellow"
"2","bottom-right",7797.19425,"Orange"
"3","center",14573.463437,"Blue"
"4","none",19764.47968,"white"
"5","top-left",6420.1797754,"Green"
"6","top-right",5280.5248,"Red"
