"","data.circle","data.time_span","data.color"
"1","bottom-left",6052.78305,"Green"
"2","bottom-right",15176.97292,"Yellow"
"3","center",12181.43289,"Orange"
"4","none",12749.562399,"white"
"5","top-left",1952.99873,"Blue"
"6","top-right",6266.79801,"Red"
