"","data.circle","data.time_span","data.color"
"1","bottom-left",1329.45214,"Yellow"
"2","bottom-right",13878.736078,"Red"
"3","center",15132.85346,"Green"
"4","none",13539.93926,"white"
"5","top-left",5793.23253,"Orange"
"6","top-right",4679.490268,"Blue"
