"","data.circle","data.time_span","data.color"
"1","bottom-left",7209.73762,"Green"
"2","bottom-right",2380.78759,"Blue"
"3","center",9122.66202,"Orange"
"4","none",18169.96827,"white"
"5","top-left",9169.48551,"Red"
"6","top-right",5591.63125,"Yellow"
