"","data.circle","data.time_span","data.color"
"1","bottom-left",3809.71449,"Blue"
"2","bottom-right",4512.98727,"Yellow"
"3","center",12694.27878,"Green"
"4","none",12740.5532,"white"
"5","top-left",10934.68964,"Red"
"6","top-right",9612.22123,"Orange"
