"","data.circle","data.time_span","data.color"
"1","bottom-left",4966.795358,"Green"
"2","bottom-right",4383.45726,"Orange"
"3","center",13798.2049,"Red"
"4","none",11799.89962,"white"
"5","top-left",3779.94553,"Yellow"
"6","top-right",12797.66104,"Blue"
