"","data.circle","data.time_span","data.color"
"1","bottom-left",6955.67186,"Yellow"
"2","bottom-right",2990.9084,"Green"
"3","center",13671.90803,"Orange"
"4","none",14793.25837,"white"
"5","top-left",5103.89911,"Blue"
"6","top-right",10371.73299,"Red"
