"","data.circle","data.time_span","data.color"
"1","bottom-left",2812.95528,"Yellow"
"2","bottom-right",11906.85603,"Green"
"3","center",9186.11171,"Blue"
"4","none",17250.15748,"white"
"5","top-left",5072.03747,"Red"
"6","top-right",8704.96506,"Orange"
