"","data.circle","data.time_span","data.color"
"1","bottom-left",7768.44109,"Blue"
"2","bottom-right",1437.264004,"Orange"
"3","center",8737.9952,"Yellow"
"4","none",20273.78365,"white"
"5","top-left",7490.63097,"Green"
"6","top-right",8566.60865,"Red"
