"","data.circle","data.time_span","data.color"
"1","bottom-left",2508.34011,"Green"
"2","bottom-right",3010.81093,"Yellow"
"3","center",12736.236054,"Orange"
"4","none",20628.32913,"white"
"5","top-left",13217.55146,"Red"
"6","top-right",2299.42334,"Blue"
