"","data.circle","data.time_span","data.color"
"1","bottom-left",2260.79177,"Yellow"
"2","bottom-right",3185.61478,"Green"
"3","center",14093.11206,"Blue"
"4","none",9821.98455,"white"
"5","top-left",9385.065983,"Orange"
"6","top-right",11627.71741,"Red"
