"","data.circle","data.time_span","data.color"
"1","bottom-left",3520.07043,"Orange"
"2","bottom-right",3069.09994,"Yellow"
"3","center",11430.49439,"Blue"
"4","none",19437.614174,"white"
"5","top-left",4558.08617,"Green"
"6","top-right",9122.94047,"Red"
