"","data.circle","data.time_span","data.color"
"1","bottom-left",1393.77625,"Green"
"2","bottom-right",4163.23137,"Red"
"3","center",12358.53884,"Orange"
"4","none",22880.42268,"white"
"5","top-left",8322.0776,"Yellow"
"6","top-right",5306.55277,"Blue"
