"","data.circle","data.time_span","data.color"
"1","bottom-left",6425.30339,"Green"
"2","bottom-right",4452.41762182,"Orange"
"3","center",15030.607574,"Red"
"4","none",16482.937486,"white"
"5","top-left",9262.2321574,"Blue"
"6","top-right",2778.7779,"Yellow"
