"","data.circle","data.time_span","data.color"
"1","bottom-left",4216.03043,"Orange"
"2","bottom-right",1979.04579,"Yellow"
"3","center",11242.524925,"Red"
"4","none",21399.08837,"white"
"5","top-left",6543.28457,"Blue"
"6","top-right",8999.53563,"Green"
