"","data.circle","data.time_span","data.color"
"1","bottom-left",5500.60847,"Blue"
"2","bottom-right",4021.59326,"Yellow"
"3","center",18551.113327,"Red"
"4","none",12276.0246,"white"
"5","top-left",7758.17081,"Orange"
"6","top-right",6350.4737,"Green"
