"","data.circle","data.time_span","data.color"
"1","bottom-left",9649.01244,"Blue"
"2","bottom-right",8905.06308,"Orange"
"3","center",11140.90177,"Green"
"4","none",18682.64865,"white"
"5","top-left",3347.50907,"Yellow"
"6","top-right",2579.04563,"Red"
