"","data.circle","data.time_span","data.color"
"1","bottom-left",5458.2944385,"Yellow"
"2","bottom-right",3568.8591,"Blue"
"3","center",15045.66357,"Red"
"4","none",21926.02494,"white"
"5","top-left",5980.81024,"Orange"
"6","top-right",1723.57562,"Green"
