"","data.circle","data.time_span","data.color"
"1","bottom-left",5040.24342,"Orange"
"2","bottom-right",9915.92757,"Green"
"3","center",9215.0284,"Blue"
"4","none",16133.88296,"white"
"5","top-left",3650.46034,"Red"
"6","top-right",10469.99766,"Yellow"
