"","data.circle","data.time_span","data.color"
"1","bottom-left",2880.96006,"Green"
"2","bottom-right",4701.4994,"Orange"
"3","center",15039.62265,"Blue"
"4","none",14242.89248,"white"
"5","top-left",6136.7683757,"Yellow"
"6","top-right",11430.92585,"Red"
