"","data.circle","data.time_span","data.color"
"1","bottom-left",6771.31965,"Blue"
"2","bottom-right",9596.89986,"Orange"
"3","center",12275.40878,"Red"
"4","none",18813.3810346,"white"
"5","top-left",3676.11378,"Yellow"
"6","top-right",3291.33087,"Green"
