"","data.circle","data.time_span","data.color"
"1","bottom-left",3964.39567,"Red"
"2","bottom-right",6309.76901,"Yellow"
"3","center",10231.8844814,"Orange"
"4","none",16100.56969,"white"
"5","top-left",7879.50156,"Green"
"6","top-right",9699.33656,"Blue"
