"","data.circle","data.time_span","data.color"
"1","bottom-left",4744.00629,"Red"
"2","bottom-right",8968.41463,"Green"
"3","center",13021.9635,"Blue"
"4","none",11775.70626,"white"
"5","top-left",8667.85908,"Orange"
"6","top-right",5153.90558,"Yellow"
