"","data.circle","data.time_span","data.color"
"1","bottom-left",10028.89165,"Orange"
"2","bottom-right",5593.49683,"Blue"
"3","center",13633.08915,"Red"
"4","none",13874.68823,"white"
"5","top-left",6129.2236,"Green"
"6","top-right",8124.69158,"Yellow"
