"","data.circle","data.time_span","data.color"
"1","bottom-left",4392.00145,"Blue"
"2","bottom-right",8389.39805,"Green"
"3","center",11847.07102,"Red"
"4","none",16689.07353,"white"
"5","top-left",5180.67067,"Yellow"
"6","top-right",11193.79147,"Orange"
