"","data.circle","data.time_span","data.color"
"1","bottom-left",6231.10365,"Red"
"2","bottom-right",3748.32108,"Orange"
"3","center",12061.31961,"Green"
"4","none",17480.028184,"white"
"5","top-left",9018.4672,"Yellow"
"6","top-right",5875.62393,"Blue"
