"","data.circle","data.time_span","data.color"
"1","bottom-left",3742.05099,"Red"
"2","bottom-right",1370.09627,"Green"
"3","center",21962.649685,"Yellow"
"4","none",16670.36565,"white"
"5","top-left",3698.90239,"Blue"
"6","top-right",6863.45772,"Orange"
