"","data.circle","data.time_span","data.color"
"1","bottom-left",6791.74529,"Red"
"2","bottom-right",7389.88459,"Blue"
"3","center",10571.65313,"Yellow"
"4","none",18644.8318,"white"
"5","top-left",4767.04885,"Orange"
"6","top-right",8904.5213,"Green"
