"","data.circle","data.time_span","data.color"
"1","bottom-left",1258209.01118,"Yellow"
"2","bottom-right",802377.41067,"Green"
"3","center",1929540.450453,"Red"
"4","none",1121813.437998,"white"
"5","top-left",540503.23327,"Orange"
"6","top-right",936315.87533,"Blue"
