,202 (11.2422) 
406,291 (9.98901) 
419,287 (7.87667) 
417,232 (21.5462) 
422,245 (20.042) 
422,251 (20.83) 
416,246 (18.4008) 
399,243 (18.1162) 
398,247 (32.327) 
403,263 (16.7767) 
397,272 (12.8379) 
401,280 (11.985) 
401,282 (11.1304) 
418,312 (9.87932) 
416,274 (7.96112) 
420,334 (23.2673) 
419,248 (23.0666) 
418,239 (36.6171) 
419,265 (20.179) 
423,289 (19.2282) 
427,341 (18.3282) 
439,354 (18.2507) 
437,350 (15.4301) 
444,354 (15.7083) 
442,326 (13.3505) 
441,313 (11.7249) 
457,339 (27.4012) 
461,348 (13.278) 
462,305 (18.1946) 
463,282 (13.7528) 
462,305 (9.89866) 
461,247 (5.0891) 
485,273 (20.4971) 
480,264 (18.5797) 
477,259 (17.8953) 
469,231 (32.6172) 
455,232 (17.9769) 
474,210 (31.152) 
448,209 (15.5093) 
460,95 (15.2154) 
463,178 (11.4831) 
542,192 (11.7634) 
537,167 (10.3473) 
500,141 (53.0036) 
508,117 (50.3529) 
488,122 (18.0551) 
491,245 (31.0796) 
486,212 (30.2406) 
486,193 (18.0556) 
484,212 (12.9749) 
483,165 (25.9835) 
489,179 (38.2813) 
489,175 (22.1413) 
483,180 (36.3358) 
481,179 (19.267) 
482,180 (18.4025) 
480,180 (16.4937) 
476,184 (16.6924) 
472,193 (16.3818) 
469,197 (13.1297) 
422,208 (32.188) 
427,200 (25.8498) 
433,194 (7.94447) 
441,184 (23.9024) 
445,186 (23.3809) 
447,184 (22.7953) 
453,200 (22.846) 
457,210 (21.4064) 
454,195 (19.0289) 
455,197 (17.1625) 
970,92 (30.7369) 
745,119 (13.7899) 
754,133 (11.8965) 
669,144 (13.731) 
738,133 (11.5567) 
621,146 (10.1589) 
562,154 (8.34251) 
560,154 (8.1375) 
554,158 (5.51795) 
537,165 (37.2101) 
500,170 (18.8339) 
446,181 (18.3236) 
457,180 (17.4861) 
276,196 (16.8461) 
246,192 (14.907) 
329,168 (14.1289) 
371,168 (12.6149) 
443,165 (11.7436) 
226,206 (26.7545) 
181,215 (10.393) 
182,216 (9.50246) 
174,207 (9.95433) 
185,200 (9.73692) 
290,249 (8.20405) 
449,188 (6.26276) 
452,183 (20.7248) 
456,160 (20.3581) 
496,167 (35.5581) 
502,132 (23.2344) 
498,167 (17.7192) 
504,154 (15.2763) 
506,154 (14.7809) 
502,142 (13.0992) 
493,131 (12) 
481,132 (10.2362) 
445,112 (9.30162) 
440,113 (24.3126) 
449,138 (6.67362) 
429,139 (22.1167) 
437,131 (21.1718) 
284,142 (20.185) 
237,147 (24.5474) 
310,156 (2.42364) 
253,148 (16.5581) 
231,143 (16.0759) 
126,173 (30.7708) 
262,146 (15.0114) 
273,144 (12.483) 
