319,224 (8.89236e+007) 
315,220 (15.8975) 
306,211 (31.5829) 
305,210 (13.051) 
305,209 (7.73807) 
303,208 (18.9885) 
300,209 (17.6494) 
309,215 (12.9125) 
317,217 (15.2897) 
316,219 (14.577) 
316,226 (9.95179) 
318,225 (36.6299) 
318,222 (7.78738) 
315,223 (18.1406) 
312,214 (17.7504) 
310,212 (11.8931) 
309,209 (22.3579) 
309,209 (13.4879) 
310,206 (9.07609) 
308,205 (19.6786) 
314,210 (31.4693) 
317,210 (16.9035) 
316,209 (16.3705) 
313,213 (10.8066) 
311,216 (21.4104) 
312,217 (13.7609) 
312,217 (7.83859) 
315,216 (18.457) 
306,211 (17.9329) 
264,194 (32.6586) 
242,187 (15.2104) 
218,184 (9.74141) 
204,181 (21.3447) 
200,182 (11.6715) 
201,187 (14.6426) 
200,185 (17.4944) 
202,186 (16.5389) 
204,188 (11.486) 
202,186 (40.2698) 
201,183 (10.5109) 
200,182 (20.7645) 
201,180 (11.9894) 
196,175 (14.8146) 
196,173 (16.2911) 
193,170 (15.7038) 
191,167 (10.7168) 
188,165 (21.271) 
187,165 (25.2866) 
186,164 (18.5647) 
258,233 (18.3148) 
274,250 (13.2658) 
282,260 (15.0237) 
284,262 (14.2747) 
280,257 (10.5091) 
287,267 (20.2554) 
287,267 (11.1832) 
286,268 (34.2061) 
286,269 (16.6792) 
287,269 (12.3088) 
292,270 (15.3668) 
291,270 (13.2741) 
286,268 (9.50207) 
286,267 (19.2305) 
284,267 (18.1877) 
284,267 (14.251) 
279,266 (32.3782) 
280,266 (12.7871) 
278,270 (14.1122) 
283,276 (15.4639) 
280,273 (11.2265) 
302,261 (19.2131) 
394,203 (17.356) 
393,204 (12.8565) 
407,193 (15.1691) 
411,188 (27.1557) 
417,186 (20.3838) 
424,195 (11.8371) 
428,199 (14.8573) 
434,207 (17.1742) 
436,208 (16.2545) 
432,202 (11.8384) 
435,203 (22.1771) 
432,202 (13.2104) 
425,196 (28.3681) 
425,196 (10.3712) 
424,198 (14.1351) 
418,206 (17.3385) 
419,207 (15.3716) 
419,207 (10.7361) 
423,204 (21.4596) 
424,204 (12.3471) 
424,202 (7.82367) 
425,202 (34.805) 
425,200 (13.7803) 
425,200 (15.8153) 
424,198 (15.4145) 
424,198 (9.56911) 
424,197 (20.0472) 
424,198 (11.276) 
423,197 (14.6764) 
415,193 (17.1105) 
406,193 (29.1565) 
311,189 (14.4974) 
289,190 (14.2103) 
278,189 (8.62797) 
275,188 (19.2981) 
258,182 (18.5401) 
219,179 (13.8007) 
181,176 (16.0808) 
187,176 (15.3087) 
184,177 (30.1092) 
185,177 (12.6593) 
185,177 (7.69026) 
180,167 (19.6181) 
170,167 (17.3356) 
171,167 (12.517) 
175,166 (15.0443) 
177,166 (14.2346) 
180,170 (9.63413) 
176,168 (36.3995) 
180,169 (7.98333) 
183,172 (18.3904) 
183,173 (17.3053) 
187,174 (11.6866) 
188,175 (22.1985) 
187,176 (13.2451) 
186,177 (8.78195) 
187,177 (19.142) 
184,174 (31.4408) 
184,174 (15.7152) 
246,242 (16.4386) 
263,258 (10.6681) 
267,265 (21.156) 
270,266 (12.2869) 
272,270 (7.74288) 
278,275 (18.2338) 
274,282 (17.5019) 
274,289 (32.3311) 
274,291 (14.761) 
280,295 (9.93992) 
284,298 (20.8495) 
285,300 (11.2392) 
286,301 (15.3611) 
287,302 (17.0493) 
287,300 (16.1857) 
287,299 (12.3576) 
287,298 (30.2741) 
288,298 (10.1761) 
289,296 (19.8459) 
284,297 (19.626) 
288,298 (14.0543) 
283,302 (16.0295) 
272,299 (15.1976) 
292,295 (11.3323) 
420,214 (21.1911) 
424,211 (24.8445) 
434,205 (18.3972) 
437,202 (18.4171) 
439,197 (12.4794) 
436,184 (15.2077) 
436,182 (14.383) 
436,180 (9.64529) 
435,174 (20.1431) 
434,175 (11.2068) 
434,177 (35.2488) 
434,180 (16.9166) 
433,181 (12.9418) 
432,179 (15.1582) 
435,177 (13.1994) 
437,176 (8.67678) 
436,177 (18.9077) 
435,177 (18.3422) 
433,180 (13.9136) 
434,179 (32.3095) 
435,178 (11.0209) 
431,177 (21.8347) 
431,179 (12.9733) 
431,179 (7.90285) 
431,180 (17.8973) 
421,185 (17.3061) 
415,184 (12.7715) 
237,163 (15.1521) 
226,162 (27.0553) 
200,160 (20.4112) 
199,158 (12.2015) 
200,158 (6.94204) 
200,161 (16.9583) 
203,164 (16.6083) 
