228,328 (10.9557) 
207,326 (8.59363) 
226,329 (27.4894) 
221,327 (7.90976) 
215,322 (22.7986) 
218,323 (21.4059) 
202,316 (17.0689) 
213,316 (18.5151) 
217,317 (17.4103) 
207,313 (15.1607) 
210,308 (14.0392) 
218,309 (26.045) 
222,310 (11.3911) 
225,319 (11.6732) 
227,321 (6.86109) 
230,324 (23.6795) 
231,324 (22.7718) 
231,323 (19.4595) 
232,318 (20.5054) 
234,312 (19.9552) 
232,311 (35.0868) 
231,311 (17.571) 
227,310 (12.7708) 
224,311 (14.6182) 
221,315 (21.8406) 
218,318 (10.7758) 
219,317 (11.4937) 
228,315 (16.0566) 
286,320 (19.2621) 
291,320 (32.4414) 
281,316 (12.0723) 
295,395 (13.7259) 
302,374 (8.24022) 
310,344 (4.01568) 
250,425 (20.4436) 
309,367 (19.5261) 
318,367 (33.905) 
352,451 (51.0044) 
243,409 (51.8174) 
103,497 (43.251) 
107,474 (43.6978) 
130,406 (10.7277) 
156,432 (12.2791) 
239,427 (9.62276) 
242,407 (9.59437) 
253,396 (14.9916) 
261,387 (14.5647) 
286,430 (44.0145) 
272,554 (29.4464) 
249,435 (13.1644) 
219,364 (23.7521) 
159,382 (32.2097) 
168,375 (18.403) 
151,374 (48.1009) 
153,375 (14.4675) 
159,380 (28.9729) 
155,390 (11.689) 
141,417 (25.4567) 
132,416 (8.28093) 
141,406 (22.4562) 
131,304 (21.5687) 
126,274 (35.3262) 
123,259 (16.8948) 
124,216 (31.9524) 
120,200 (15.2688) 
123,202 (44.4411) 
120,204 (24.8925) 
119,210 (7.82622) 
111,233 (42.7583) 
111,233 (13.6158) 
114,241 (21.2736) 
115,242 (53.5772) 
115,247 (21.7447) 
113,251 (37.1585) 
112,252 (19.6435) 
111,240 (38.1446) 
105,234 (19.4275) 
100,235 (26.9934) 
98,240 (7.79569) 
101,247 (37.3261) 
101,253 (20.7272) 
102,262 (34.3342) 
100,261 (17.9979) 
99,263 (47.6132) 
99,262 (28.3798) 
99,262 (11.6201) 
108,236 (25.2185) 
112,241 (11.5517) 
113,240 (22.6564) 
115,238 (54.3668) 
114,242 (20.4256) 
107,237 (32.1187) 
110,222 (15.3163) 
128,224 (28.8309) 
135,227 (13.0232) 
126,224 (27.7553) 
125,229 (9.61941) 
115,224 (22.9544) 
115,226 (23.2356) 
108,236 (42.7575) 
108,237 (2.14818) 
108,238 (15.2695) 
169,264 (114.77) 
135,246 (21.1236) 
104,220 (36.0623) 
94,203 (41.6296) 
102,205 (8.50943) 
109,203 (21.3676) 
111,208 (17.5959) 
119,219 (30.2021) 
127,215 (14.4962) 
125,215 (29.5773) 
116,218 (12.1094) 
96,220 (7.66464) 
136,247 (26.0906) 
150,253 (7.21101) 
134,290 (20.2151) 
143,277 (21.2884) 
146,272 (20.2708) 
141,273 (17.7381) 
138,268 (34.6393) 
127,276 (16.0484) 
128,260 (20.4368) 
127,256 (20.4358) 
126,244 (32.7555) 
122,250 (18.1927) 
119,253 (35.6708) 
84,246 (39.6314) 
85,246 (22.5809) 
91,254 (36.2969) 
91,254 (19.2084) 
89,261 (33.1207) 
90,258 (16.6642) 
92,259 (31.6452) 
95,257 (13.8754) 
98,260 (27.0423) 
97,267 (10.1813) 
102,273 (24.0547) 
98,278 (11.4188) 
98,273 (37.5805) 
90,277 (34.1148) 
86,279 (20.5356) 
87,279 (19.3744) 
116,308 (21.0626) 
128,336 (19.7684) 
91,388 (21.1269) 
116,355 (19.5162) 
57,374 (27.3759) 
56,373 (11.4044) 
52,371 (8.57996) 
42,361 (5.86591) 
46,342 (22.9097) 
68,324 (26.2546) 
84,316 (20.6631) 
95,309 (19.1632) 
100,305 (34.5103) 
115,282 (18.3151) 
90,370 (14.2261) 
128,526 (13.8479) 
134,560 (12.9779) 
136,581 (9.70319) 
156,591 (10.9077) 
158,589 (10.0989) 
200,589 (40.3489) 
200,557 (20.8589) 
196,556 (22.3773) 
181,545 (33.3863) 
127,500 (16.3807) 
104,519 (30.9879) 
93,507 (27.3367) 
146,463 (10.6664) 
151,460 (10.8857) 
149,462 (7.62548) 
153,461 (22.9766) 
141,488 (22.1775) 
94,530 (18.9772) 
98,522 (20.0971) 
102,518 (19.5256) 
146,474 (34.7145) 
158,458 (16.0025) 
143,508 (12.6342) 
143,508 (13.7143) 
132,508 (12.6548) 
82,556 (10.3846) 
92,544 (10.9199) 
151,435 (10.6905) 
154,428 (7.51204) 
198,345 (40.6138) 
200,343 (4.12966) 
214,339 (21.2645) 
215,339 (21.1976) 
205,328 (16.8705) 
206,329 (17.9621) 
221,334 (17.0938) 
231,341 (14.1535) 
232,342 (15.0651) 
217,338 (27.7689) 
229,339 (16.9206) 
280,290 (18.129) 
286,284 (17.1158) 
307,321 (19.0473) 
312,323 (12.0054) 
290,345 (7.91857) 
297,345 (26.983) 
304,347 (7.06422) 
309,344 (38.626) 
305,366 (21.496) 
301,358 (17.3574) 
308,361 (19.1337) 
346,349 (17.0393) 
355,348 (14.1221) 
351,369 (15.0838) 
409,347 (14.369) 
447,301 (12.8096) 
470,291 (29.6637) 
516,292 (24.5991) 
511,274 (11.6725) 
501,275 (5.83487) 
509,280 (21.9036) 
510,274 (20.611) 
510,251 (17.5801) 
501,252 (19.3034) 
488,256 (32.9351) 
513,267 (16.3859) 
514,268 (14.7546) 
505,265 (12.4964) 
513,271 (14.0521) 
516,279 (11.7854) 
497,284 (15.8295) 
501,282 (10.7651) 
504,282 (9.29593) 
502,250 (25.1126) 
485,257 (6.85311) 
473,264 (21.4233) 
437,262 (19.8793) 
421,265 (18.6077) 
418,263 (13.5638) 
409,260 (16.9896) 
402,259 (15.6445) 
383,242 (11.5589) 
394,242 (29.0464) 
397,249 (9.57026) 
397,253 (9.17281) 
395,254 (8.17536) 
393,257 (5.13457) 
386,260 (22.0111) 
393,261 (21.1997) 
377,253 (18.3201) 
364,248 (19.2185) 
367,249 (31.6263) 
379,253 (22.8133) 
370,254 (33.4031) 
366,255 (18.7) 
336,269 (33.7418) 
331,267 (18.5388) 
325,269 (47.392) 
321,273 (16.9062) 
322,271 (14.8546) 
328,263 (14.7052) 
330,261 (13.5952) 
337,263 (12.5174) 
336,263 (12.3325) 
337,262 (6.43624) 
338,262 (18.5829) 
337,264 (32.9421) 
337,264 (16.9911) 
335,267 (14.5247) 
334,271 (12.3516) 
335,274 (9.6662) 
336,270 (10.55) 
337,269 (11.1468) 
338,263 (7.1926) 
338,257 (23.6825) 
336,255 (37.0761) 
335,256 (20.5559) 
331,258 (19.7919) 
331,258 (15.6816) 
333,258 (17.927) 
335,269 (19.4455) 
335,270 (14.7693) 
333,267 (14.374) 
333,265 (13.6824) 
330,266 (28.5727) 
331,267 (11.2079) 
329,265 (6.41928) 
329,259 (24.3692) 
330,258 (7.71903) 
330,258 (20.1963) 
330,270 (21.2259) 
330,271 (21.0774) 
330,273 (21.0455) 
329,275 (34.9655) 
331,274 (16.7642) 
336,268 (16.1782) 
340,265 (14.6261) 
339,264 (12.1767) 
339,263 (14.8717) 
335,266 (12.0614) 
336,267 (7.65253) 
336,270 (25.7008) 
