x, y, time_span
117,80 ,19.7264  
118,78 ,19.3187  
109,79 ,33.3977  
93,81 ,16.8647  
94,83 ,15.3674  
89,81 ,14.4139  
87,81 ,14.1234  
77,69 ,13.2076  
74,64 ,12.5296  
76,67 ,19.2236  
70,53 ,10.9363  
69,55 ,25.2532  
60,68 ,6.18416  
58,71 ,20.4926  
53,76 ,19.866  
53,79 ,19.3197  
52,80 ,19.1198  
49,82 ,18.1065  
54,87 ,18.345  
54,89 ,14.3082  
85,113 ,31.4788  
83,111 ,11.4613  
94,118 ,26.0356  
96,117 ,8.92393  
97,126 ,25.5792  
96,136 ,5.74469  
99,140 ,51.712  
101,139 ,18.9746  
113,147 ,31.234  
133,167 ,16.5762  
131,168 ,29.324  
126,166 ,11.9545  
117,159 ,41.7294  
121,162 ,7.7128  
133,175 ,22.2107  
153,199 ,36.8111  
165,222 ,20.2259  
164,218 ,35.8112  
171,223 ,16.25  
171,208 ,31.5765  
174,203 ,13.0562  
169,204 ,12.5279  
163,203 ,11.515  
156,200 ,10.2293  
163,205 ,10.8198  
151,198 ,10.3376  
145,196 ,6.95387  
148,195 ,22.5504  
271,199 ,37.0687  
303,203 ,19.5944  
312,202 ,18.6444  
343,200 ,18.0246  
415,187 ,17.9449  
431,180 ,16.6224  
431,181 ,15.557  
429,173 ,14.0464  
431,180 ,12.6538  
450,179 ,27.9055  
456,179 ,10.6446  
478,184 ,9.60692  
498,189 ,8.13734  
498,188 ,8.42799  
505,182 ,6.22669  
505,189 ,22.9009  
499,195 ,20.0522  
500,193 ,18.3029  
495,197 ,34.6678  
488,202 ,18.556  
476,206 ,19.3842  
472,207 ,18.6181  
457,209 ,16.2911  
446,210 ,17.2737  
446,199 ,17.7251  
448,205 ,17.0566  
448,208 ,11.1128  
446,203 ,24.6501  
442,197 ,6.9329  
443,199 ,20.6448  
442,203 ,19.6144  
442,205 ,20.9404  
446,233 ,18.9974  
440,278 ,17.2751  
432,328 ,17.1069  
430,360 ,14.8966  
420,393 ,29.8074  
420,406 ,12.6069  
410,403 ,12.38  
408,423 ,11.061  
410,422 ,10.7931  
413,431 ,8.84841  
436,449 ,9.54918  
438,450 ,8.73604  
440,451 ,4.97723  
438,445 ,36.4855  
434,436 ,18.0379  
446,438 ,17.6674  
431,420 ,16.8987  
430,401 ,15.5994  
438,412 ,15.9657  
436,413 ,15.2244  
435,446 ,13.3622  
435,443 ,11.8294  
432,454 ,26.5487  
433,445 ,10.5143  
400,430 ,9.62075  
400,431 ,6.26222  
401,407 ,22.4626  
404,412 ,20.9212  
408,415 ,19.8053  
413,426 ,18.7497  
412,449 ,18.0118  
413,463 ,32.3304  
411,469 ,13.7074  
409,474 ,13.5768  
322,498 ,11.9088  
272,515 ,11.6508  
240,523 ,10.1068  
230,547 ,25.9303  
219,558 ,7.00751  
218,558 ,38.6368  
208,528 ,19.9745  
207,496 ,34.4021  
218,512 ,18.2942  
222,526 ,17.2416  
223,545 ,16.9126  
220,546 ,15.626  
220,546 ,13.5791  
189,545 ,28.0285  
204,546 ,10.3772  
177,537 ,9.81211  
