x, y, time_span
403,42 ,16.0212  
394,31 ,14.8972  
380,15 ,14.7337  
382,21 ,13.099  
383,23 ,11.032  
399,29 ,17.2109  
398,30 ,17.0414  
397,49 ,15.346  
394,70 ,31.3166  
399,66 ,13.0618  
368,104 ,12.9774  
348,102 ,12.2656  
327,111 ,9.82444  
309,133 ,16.7804  
310,135 ,16.3748  
314,174 ,14.3112  
311,164 ,14.1956  
314,159 ,28.5355  
317,143 ,11.5505  
324,119 ,19.2137  
309,115 ,17.4581  
320,110 ,15.835  
311,107 ,14.9371  
311,107 ,13.5805  
289,82 ,12.9628  
274,73 ,12.0633  
274,77 ,26.9416  
270,99 ,17.8458  
271,102 ,16.8475  
249,79 ,15.5823  
249,65 ,13.8036  
248,60 ,12.4828  
253,62 ,11.6526  
287,74 ,18.7706  
294,64 ,17.5525  
298,56 ,32.9008  
300,54 ,15.3598  
303,33 ,14.8828  
312,0 ,15.0208  
308,-14 ,11.3167  
301,-26 ,18.7187  
300,-15 ,17.7944  
319,-2 ,16.3907  
327,3 ,15.5959  
372,70 ,30.4024  
381,77 ,13.2827  
382,84 ,12.8822  
381,79 ,11.236  
376,79 ,17.5573  
372,76 ,16.8002  
377,63 ,15.181  
365,56 ,14.6308  
306,55 ,13.6655  
205,53 ,28.791  
176,63 ,11.4266  
164,85 ,17.8715  
140,99 ,17.652  
149,102 ,16.9564  
143,100 ,14.3673  
132,88 ,14.3414  
132,88 ,12.8646  
133,88 ,11.6306  
129,85 ,36.188  
141,110 ,9.75361  
141,113 ,16.9208  
147,121 ,15.621  
168,112 ,13.4  
181,144 ,13.455  
186,140 ,12.8506  
179,128 ,11.071  
192,135 ,17.5988  
185,131 ,32.0123  
194,128 ,15.3553  
193,136 ,14.7085  
186,144 ,12.8468  
188,149 ,11.5645  
190,155 ,18.733  
174,170 ,17.3879  
167,166 ,31.6902  
151,149 ,45.5514  
160,159 ,12.0989  
187,132 ,12.2741  
180,130 ,9.76704  
164,120 ,16.2645  
169,133 ,15.5416  
174,132 ,15.1994  
173,128 ,13.238  
157,117 ,28.7527  
162,149 ,11.3691  
136,170 ,18.6457  
128,161 ,17.6171  
130,166 ,30.6304  
129,166 ,13.7168  
152,134 ,12.29  
175,147 ,11.6471  
152,148 ,34.4596  
141,170 ,17.3441  
140,165 ,16.5348  
140,165 ,15.3218  
135,158 ,28.7923  
115,154 ,11.3211  
122,146 ,33.8971  
116,158 ,32.9063  
123,151 ,15.4564  
126,162 ,14.2507  
119,167 ,13.5834  
122,165 ,11.8213  
130,177 ,18.3812  
133,179 ,17.6078  
132,172 ,16.7579  
137,171 ,15.1652  
148,164 ,30.7466  
170,152 ,12.5748  
175,155 ,27.809  
175,153 ,17.0141  
161,136 ,16.5243  
199,179 ,15.6992  
248,280 ,14.1462  
306,281 ,13.9369  
301,279 ,28.1298  
281,287 ,13.2449  
280,288 ,11.0436  
283,283 ,16.6298  
298,282 ,15.6683  
293,283 ,15.1344  
301,294 ,13.3462  
298,306 ,12.7371  
296,315 ,11.6588  
278,315 ,34.6654  
285,324 ,17.4439  
285,321 ,15.5202  
285,323 ,15.4695  
298,353 ,13.6916  
286,318 ,11.947  
287,314 ,19.9777  
291,325 ,18.7407  
294,326 ,17.2049  
291,306 ,32.9398  
292,307 ,14.5243  
291,304 ,14.5365  
292,306 ,13.8145  
293,302 ,11.2163  
315,300 ,18.6931  
327,314 ,17.8458  
334,320 ,16.008  
334,334 ,16.5283  
305,329 ,30.1062  
258,338 ,13.216  
175,362 ,12.8314  
171,383 ,10.3962  
197,399 ,17.4744  
194,400 ,16.8345  
188,402 ,14.9574  
180,402 ,14.654  
153,431 ,13.9811  
175,408 ,43.5178  
174,408 ,17.6813  
179,434 ,17.6662  
180,425 ,15.6718  
176,413 ,13.6506  
169,440 ,13.4251  
164,426 ,12.5846  
163,423 ,10.8558  
157,410 ,34.7084  
157,411 ,16.9057  
158,414 ,16.6818  
161,418 ,16.0534  
157,417 ,12.9742  
161,433 ,12.38  
147,430 ,11.8649  
143,430 ,17.9215  
145,436 ,17.5082  
137,426 ,32.2446  
147,448 ,15.1762  
198,440 ,14.7514  
211,441 ,13.2561  
319,409 ,11.4547  
328,426 ,18.8909  
343,463 ,16.9479  
342,466 ,16.4598  
346,467 ,15.6753  
371,479 ,32.0363  
381,460 ,14.9333  
401,444 ,13.6591  
415,434 ,11.3068  
417,427 ,19.6676  
406,393 ,16.5781  
407,391 ,15.9138  
423,392 ,14.7547  
416,384 ,13.138  
417,384 ,28.994  
427,391 ,10.7773  
434,394 ,19.0683  
435,390 ,17.893  
434,389 ,15.5095  
429,382 ,14.5125  
423,381 ,13.9264  
422,385 ,12.4154  
414,373 ,11.6027  
414,373 ,34.5277  
411,372 ,17.1654  
407,371 ,16.8411  
407,377 ,15.0456  
409,381 ,13.5418  
409,383 ,13.0268  
412,389 ,11.3707  
404,384 ,18.3703  
416,379 ,17.9557  
424,374 ,32.6314  
428,381 ,15.4676  
424,392 ,14.5031  
424,403 ,13.9286  
417,440 ,11.9779  
420,454 ,18.3077  
413,372 ,17.418  
404,311 ,16.6203  
401,237 ,15.6733  
397,195 ,30.5414  
397,189 ,12.9778  
399,164 ,12.6338  
410,158 ,11.4499  
409,146 ,17.4419  
435,133 ,16.5043  
380,98 ,15.5504  
409,90 ,14.1814  
411,116 ,13.4478  
415,132 ,28.9963  
424,99 ,11.1576  
427,91 ,18.8671  
432,89 ,17.2128  
426,94 ,17.3721  
431,101 ,14.6884  
434,103 ,14.0113  
433,107 ,12.614  
430,110 ,11.8637  
407,91 ,35.1719  
396,79 ,17.2071  
387,61 ,16.6013  
390,70 ,15.6035  
399,50 ,13.9025  
427,51 ,12.6528  
422,47 ,11.4103  
398,57 ,18.5787  
403,88 ,17.37  
405,93 ,32.6906  
412,101 ,15.141  
411,98 ,14.5999  
408,64 ,13.6901  
416,71 ,11.2634  
409,88 ,18.8018  
393,93 ,17.5102  
396,90 ,16.6722  
398,92 ,15.3664  
434,159 ,30.3269  
476,210 ,13.2593  
470,164 ,12.7126  
468,156 ,11.3512  
469,155 ,17.6901  
430,43 ,16.8603  
428,41 ,15.3051  
403,70 ,14.4531  
421,58 ,13.8341  
415,51 ,28.7185  
420,93 ,11.6406  
408,91 ,18.2852  
430,87 ,17.4537  
412,68 ,16.3989  
405,64 ,14.8148  
366,50 ,13.7249  
391,60 ,12.8938  
411,67 ,11.2121  
396,71 ,34.9018  
396,74 ,16.8155  
403,80 ,16.8076  
392,91 ,16.1716  
401,91 ,13.3972  
395,114 ,12.7149  
386,99 ,11.898  
390,87 ,18.0375  
427,69 ,17.7072  
417,71 ,32.6591  
449,94 ,15.178  
457,121 ,15.0132  
444,129 ,13.1155  
443,131 ,11.4864  
436,104 ,22.2181  
435,100 ,9.00527  
