514,138 (8.43857e+007) 
514,139 (11.4995) 
516,142 (19.1862) 
516,144 (18.9513) 
517,144 (15.2524) 
514,145 (15.9749) 
514,145 (14.1876) 
515,145 (12.1317) 
508,145 (28.231) 
508,147 (9.55204) 
509,148 (17.7986) 
508,148 (18.2702) 
509,144 (15.5617) 
511,143 (16.3343) 
511,143 (13.1934) 
511,142 (10.9387) 
510,137 (18.9809) 
512,141 (33.754) 
510,139 (16.5338) 
502,156 (16.0149) 
501,160 (13.7225) 
494,178 (14.2778) 
484,187 (12.2373) 
482,187 (10.1246) 
472,184 (18.0325) 
477,187 (17.156) 
480,189 (32.1712) 
479,191 (15.4047) 
479,196 (13.2009) 
484,199 (13.8743) 
483,197 (12.122) 
483,197 (9.17701) 
486,202 (17.1987) 
487,202 (16.3004) 
490,203 (13.9174) 
491,205 (30.2489) 
491,206 (11.4014) 
493,208 (19.7006) 
493,207 (19.6453) 
495,208 (15.9228) 
496,207 (16.1506) 
496,207 (15.1822) 
492,208 (12.9147) 
490,207 (13.1352) 
487,206 (26.6745) 
485,206 (18.4114) 
484,201 (18.046) 
483,199 (15.6193) 
487,200 (16.2906) 
488,201 (14.1162) 
487,202 (11.8033) 
484,201 (19.8737) 
482,200 (19.2368) 
481,199 (34.2374) 
484,196 (16.6152) 
485,196 (15.1982) 
493,189 (15.3644) 
493,189 (13.9727) 
492,190 (11.4369) 
492,190 (19.1507) 
490,193 (18.3833) 
479,193 (16.2248) 
484,205 (31.9999) 
483,204 (13.489) 
488,202 (13.4495) 
489,196 (13.1478) 
487,193 (10.5317) 
490,194 (17.8144) 
488,197 (17.1582) 
488,199 (16.378) 
487,200 (15.0093) 
485,200 (29.224) 
485,200 (12.271) 
485,200 (12.0348) 
484,200 (9.95324) 
480,200 (17.965) 
482,200 (16.0528) 
462,184 (14.1227) 
458,181 (13.8595) 
454,178 (13.0058) 
461,184 (28.0868) 
470,187 (10.5334) 
477,191 (16.8406) 
489,193 (17.3083) 
490,192 (15.7151) 
491,193 (13.2692) 
491,193 (12.8162) 
490,191 (11.9641) 
489,192 (17.8697) 
490,193 (34.0931) 
492,196 (15.2819) 
491,198 (16.7914) 
491,200 (15.3838) 
492,203 (12.7891) 
490,205 (11.9734) 
489,202 (19.4472) 
488,202 (17.0697) 
488,201 (17.2659) 
488,200 (30.9216) 
482,196 (14.0964) 
482,193 (13.6473) 
484,194 (11.7487) 
484,195 (19.8469) 
484,196 (17.9369) 
481,196 (16.008) 
481,195 (15.7816) 
477,193 (14.9655) 
476,199 (29.8947) 
477,201 (12.3217) 
477,199 (11.1694) 
477,197 (19.4425) 
475,196 (17.7103) 
475,196 (15.1759) 
475,194 (14.8854) 
476,194 (14.3493) 
473,193 (12.1027) 
473,192 (27.8377) 
470,171 (17.4422) 
468,168 (17.7568) 
470,178 (18.1869) 
471,180 (14.3926) 
471,185 (13.7642) 
471,189 (12.7937) 
471,192 (11.1184) 
475,196 (18.9886) 
472,196 (33.1421) 
473,197 (16.1716) 
476,197 (16.0693) 
468,183 (13.8863) 
469,178 (14.0453) 
471,182 (11.7811) 
470,183 (18.0301) 
470,183 (17.9385) 
472,184 (16.7717) 
481,186 (31.733) 
485,184 (14.3117) 
482,184 (15.0724) 
486,178 (13.146) 
481,173 (12.105) 
471,166 (9.20233) 
469,166 (17.8749) 
468,166 (15.8656) 
469,166 (13.9555) 
469,180 (30.0356) 
469,181 (11.4242) 
466,182 (19.554) 
466,183 (19.0539) 
465,181 (16.3484) 
468,178 (15.8714) 
469,175 (14.8813) 
470,173 (12.9605) 
470,173 (12.8851) 
471,173 (26.9624) 
473,174 (18.0522) 
474,176 (17.6013) 
473,175 (16.053) 
473,174 (15.9066) 
472,174 (13.74) 
468,180 (12.2003) 
467,180 (12.0581) 
467,178 (13.5398) 
468,178 (26.0609) 
467,180 (17.0134) 
464,172 (15.0456) 
457,167 (16.4901) 
457,168 (14.0741) 
462,169 (11.1847) 
468,177 (19.1076) 
466,175 (18.1144) 
462,173 (16.2219) 
470,180 (32.0124) 
469,180 (13.1397) 
469,180 (13.5958) 
469,176 (13.2322) 
471,172 (10.3689) 
475,169 (17.7101) 
475,170 (17.0253) 
473,173 (14.886) 
472,175 (14.8148) 
468,171 (28.9953) 
465,167 (12.2497) 
464,164 (12.6434) 
464,162 (9.76216) 
464,162 (18.9517) 
464,164 (16.1645) 
462,170 (14.6039) 
463,168 (14.0238) 
464,168 (13.9809) 
465,167 (27.9488) 
464,157 (18.238) 
462,160 (17.2525) 
464,149 (17.2673) 
463,144 (15.8469) 
462,146 (12.9965) 
464,152 (12.8915) 
462,157 (11.915) 
465,163 (17.9173) 
464,175 (34.0636) 
465,178 (15.7388) 
471,182 (16.3279) 
472,173 (15.5473) 
472,174 (12.2345) 
475,163 (11.7549) 
476,164 (19.0633) 
476,162 (17.7575) 
475,150 (16.8699) 
477,149 (31.0824) 
477,149 (14.7842) 
469,145 (13.7628) 
470,145 (12.2205) 
469,145 (11.9745) 
468,151 (18.1217) 
471,163 (15.9101) 
471,161 (15.8621) 
471,157 (15.0455) 
470,158 (30.0573) 
468,165 (12.2811) 
467,164 (10.8551) 
467,163 (19.1505) 
467,161 (20.8836) 
466,162 (6.96472) 
462,162 (14.894) 
461,163 (14.0266) 
460,165 (11.8753) 
459,169 (35.7732) 
459,172 (17.4179) 
460,171 (18.2846) 
460,170 (17.2782) 
460,168 (15.1222) 
459,164 (14.1586) 
459,163 (13.3215) 
457,163 (11.0787) 
456,162 (19.2458) 
455,161 (33.8739) 
454,159 (16.2183) 
454,159 (16.0659) 
459,164 (13.8206) 
456,159 (13.6823) 
459,154 (12.1853) 
459,155 (9.96094) 
453,147 (17.844) 
450,142 (16.9667) 
454,142 (31.9153) 
455,142 (14.4294) 
456,144 (12.7862) 
457,142 (12.8699) 
463,139 (11.6051) 
461,140 (17.0147) 
464,141 (16.9217) 
467,149 (15.8516) 
467,149 (14.2704) 
468,153 (30.1854) 
467,157 (11.3007) 
464,156 (19.6123) 
462,153 (19.1686) 
460,151 (16.4537) 
458,146 (16.0289) 
458,144 (14.9912) 
458,144 (12.9892) 
455,141 (12.8407) 
460,130 (27.205) 
453,126 (18.4582) 
427,163 (19.3026) 
385,261 (16.1348) 
369,287 (15.9589) 
361,293 (14.0822) 
361,309 (12.1597) 
362,314 (12.3499) 
362,319 (10.9851) 
352,311 (33.7441) 
357,321 (16.2044) 
358,328 (15.2608) 
358,328 (14.9938) 
363,335 (14.4629) 
369,343 (11.0411) 
370,345 (20.1853) 
369,344 (9.92973) 
370,350 (15.9825) 
372,355 (32.0916) 
375,356 (13.4156) 
366,346 (13.6023) 
358,332 (13.2173) 
356,324 (10.4074) 
360,328 (17.8877) 
366,338 (16.1179) 
372,349 (15.51) 
378,358 (15.0356) 
372,347 (29.4756) 
359,332 (12.0924) 
345,315 (10.9021) 
338,307 (17.9915) 
319,294 (17.9716) 
314,294 (15.4389) 
319,299 (14.2738) 
305,284 (15.439) 
301,281 (12.7793) 
309,299 (27.8497) 
319,292 (17.8763) 
331,307 (17.1188) 
328,327 (17.8148) 
329,338 (15.6178) 
326,331 (12.8999) 
326,323 (12.827) 
329,328 (11.437) 
330,340 (18.1705) 
333,335 (33.5582) 
317,313 (15.3745) 
329,329 (15.4102) 
319,322 (15.1201) 
312,318 (12.5883) 
313,318 (11.7909) 
318,322 (18.7003) 
326,328 (17.2486) 
316,334 (16.7392) 
314,322 (31.0197) 
282,302 (14.0915) 
296,321 (12.9918) 
297,323 (11.8156) 
297,317 (20.0194) 
310,325 (9.36997) 
322,342 (16.4371) 
328,347 (15.8292) 
337,358 (14.2485) 
337,353 (29.8269) 
332,353 (11.6957) 
321,346 (19.5994) 
328,346 (19.3208) 
327,344 (16.93) 
327,345 (14.9917) 
327,344 (14.7063) 
328,342 (13.77) 
331,340 (11.8784) 
348,325 (35.6672) 
342,327 (17.436) 
347,319 (17.7061) 
351,317 (16.987) 
354,325 (14.329) 
354,329 (13.8281) 
353,331 (13.0282) 
353,328 (12.5054) 
352,329 (10.8481) 
350,327 (33.0812) 
354,329 (16.0867) 
352,332 (15.7602) 
351,333 (14.5194) 
352,335 (13.862) 
356,339 (11.9771) 
352,336 (18.1394) 
349,331 (17.839) 
353,323 (16.8958) 
349,316 (31.994) 
356,312 (14.1524) 
358,312 (12.9364) 
358,311 (12.9747) 
346,307 (11.9187) 
335,309 (17.2277) 
327,320 (17.0338) 
335,311 (15.8149) 
338,335 (14.7255) 
343,349 (29.7005) 
332,342 (11.2413) 
