x, y, time_span
145,475,15.1894
145,474,14.6038
144,472,10.5653
143,470,20.1458
142,469,25.0441
144,468,17.4767
149,475,17.3136
150,482,12.4399
151,485,13.9207
152,485,13.1974
150,481,9.46722
149,480,18.9523
145,479,18.0866
143,479,32.8897
142,480,16.1689
141,480,11.2127
141,478,20.9278
141,476,12.2357
140,478,8.58211
140,478,17.87
143,479,16.7139
143,479,13.491
145,481,32.1729
144,480,11.983
147,478,20.8796
150,476,12.4655
152,474,8.25936
168,471,18.1003
167,470,17.3551
162,474,12.3523
150,480,13.8211
151,480,26.7006
149,477,19.0426
148,477,19.0873
148,476,14.2585
147,474,16.0703
145,476,15.0425
144,476,11.2482
149,477,21.4013
149,477,12.0711
154,478,26.7489
154,478,17.2695
154,478,14.1372
154,478,14.8213
168,479,15.2877
218,482,10.4687
261,479,20.0449
342,471,10.9773
377,470,15.257
492,463,33.3816
492,461,13.7019
496,456,15.6083
498,453,14.4949
488,464,9.51687
484,466,19.0922
473,466,18.152
467,466,14.832
457,467,15.9767
454,470,28.9096
449,470,13.4624
443,471,13.0509
442,472,8.62363
441,471,17.9954
443,467,17.2584
446,463,13.6454
446,463,15.0064
447,462,14.7783
448,466,28.875
449,472,12.5682
449,473,8.1435
449,472,17.8527
448,470,16.144
448,466,12.372
447,466,13.9789
458,458,13.132
478,429,9.47711
484,423,35.0668
488,388,15.4739
490,374,16.9419
489,373,16.0809
488,373,11.4295
487,373,20.9279
467,394,12.0827
464,399,8.64118
444,423,17.9642
433,436,30.9014
431,434,14.6207
430,433,14.7249
432,428,10.5705
432,426,19.9311
432,424,19.4058
432,423,16.5036
432,423,16.8285
435,423,15.7117
442,430,30.9544
452,442,13.5806
451,453,9.67727
449,460,20.1152
442,465,10.0721
445,466,14.7174
440,470,16.1559
450,464,15.4595
451,460,11.6554
454,456,37.1963
454,459,9.40499
452,459,19.0393
449,464,17.9662
448,463,13.3615
446,466,14.9804
445,467,14.2105
447,467,11.2526
447,467,19.9196
440,466,32.5241
436,468,17.52
436,468,17.2564
437,467,12.6585
437,467,14.3916
442,468,13.5627
440,470,9.47843
439,469,19.0841
439,469,18.1876
439,472,33.0091
438,476,15.4775
438,474,11.3949
438,475,22.2169
440,469,12.294
440,467,8.54456
444,465,18.0006
444,467,17.1412
444,467,13.1331
446,467,31.3391
446,468,11.7222
444,469,21.1731
445,468,12.9236
446,467,7.63635
451,464,17.1441
453,463,17.4882
452,464,12.7141
453,465,14.286
452,466,26.616
450,468,19.348
450,470,19.1798
451,470,14.5934
452,471,16.0353
453,471,15.2603
458,469,11.5459
457,456,20.8552
458,421,12.1067
456,374,26.8944
456,382,17.518
454,325,13.471
449,189,16.1736
448,192,13.9376
446,190,10.7519
446,189,21.3155
446,187,12.3134
447,186,7.53031
447,186,33.1572
447,186,13.2791
449,186,14.792
449,189,14.0682
446,183,9.21503
446,183,19.0435
443,183,18.1205
440,182,14.0696
439,179,15.8784
441,175,28.5501
444,177,13.3154
444,177,13.018
447,180,8.19178
447,180,17.8064
444,182,17.0848
444,181,13.4278
444,180,14.9347
447,182,13.9642
445,178,29.05
444,177,11.402
444,177,17.2144
445,179,18.002
443,180,16.4037
442,178,12.3832
442,177,14.7744
444,174,13.2424
445,174,9.30956
442,174,35.2187
445,174,15.3209
443,176,17.1045
440,180,16.3256
441,184,11.3124
444,187,20.916
446,193,11.8856
445,192,16.3659
446,188,17.7996
426,214,13.3234
408,216,11.5634
423,220,19.3627
433,221,18.7574
450,206,16.4492
452,207,17.1029
455,211,17.0698
458,212,30.6315
458,213,12.4836
458,213,10.4547
455,217,19.4633
458,220,18.7776
458,221,16.6426
456,221,15.4497
455,221,17.3697
453,218,13.8252
456,210,28.343
455,212,8.97596
464,212,17.0211
463,212,16.4689
463,209,14.2996
459,208,16.0982
461,207,15.4976
463,205,12.0813
465,203,12.0307
466,199,25.3353
468,200,16.4897
469,199,16.4673
469,200,13.7276
469,199,13.0021
468,198,12.2454
468,198,10.8165
464,201,19.5198
459,200,17.4716
457,202,32.4077
457,204,14.2227
457,205,12.2874
456,204,12.1418
455,204,11.2243
456,201,17.7222
456,199,17.4163
457,196,17.3075
459,189,14.6302
469,190,31.365
482,194,11.3236
478,190,19.2246
478,191,18.2601
467,182,16.0802
461,177,16.2887
462,175,15.2617
458,172,14.3981
457,171,14.0435
417,174,27.1094
412,176,18.1885
382,178,17.3078
355,180,15.3298
275,188,15.2556
236,194,14.5986
240,196,13.1551
241,198,13.172
241,198,12.4128
247,204,26.2618
247,202,16.205
242,200,13.831
221,193,14.2414
214,192,13.2892
207,187,11.3817
204,185,19.3692
191,166,19.3079
188,165,16.1409
178,158,32.6867
177,165,13.5933
181,169,13.0671
180,174,12.9194
182,177,9.69605
188,195,19.3394
191,200,18.2063
190,199,16.076
189,195,16.2401
189,195,29.4506
186,191,12.105
181,185,11.244
181,187,17.174
181,188,17.0383
188,188,16.3543
192,188,14.7543
193,187,15.0364
189,187,14.39
188,187,28.0949
182,182,10.2456
182,182,16.1944
182,181,16.0274
181,181,15.0424
183,181,13.3171
184,183,13.2416
185,184,12.9323
185,184,11.0906
183,186,34.7854
183,187,14.8761
182,188,15.4956
182,191,14.2826
184,194,11.7892
186,196,19.952
186,191,19.4656
187,190,18.1315
187,192,17.2487
185,191,30.9095
183,189,14.1285
186,188,13.2469
188,187,10.8947
188,184,19.0271
188,182,18.3333
186,181,16.9295
188,183,17.1167
190,185,16.3369
190,189,30.1359
190,193,12.3503
188,195,9.72559
184,197,18.1313
182,195,17.2621
184,195,15.5723
183,194,15.5174
183,195,15.415
182,195,12.0398
177,187,28.3889
177,187,9.19072
172,175,17.1055
172,176,16.2354
178,186,14.1094
176,183,14.0588
175,181,13.604
183,192,12.2914
181,196,11.9085
184,205,33.3345
191,216,16.0779
194,217,15.2515
196,217,13.2089
192,212,13.2045
184,197,13.7166
186,195,11.0257
188,197,18.5962
190,195,20.739
183,189,25.0852
182,186,14.3078
183,186,12.3217
187,186,12.2283
188,189,11.1761
188,189,16.9666
189,189,17.2697
189,190,17.14
188,190,14.2039
186,199,30.34
187,199,10.9435
190,202,18.9129
184,196,18.1657
186,199,15.9032
187,202,16.1468
185,201,15.5052
189,204,14.1605
186,205,13.8733
181,213,26.817
185,221,18.3943
179,238,17.1741
164,324,15.2092
159,359,15.0573
159,364,14.4182
166,391,12.5359
167,390,14.0941
167,408,12.0985
167,416,26.2238
175,402,16.2727
171,402,13.9072
147,406,14.0631
146,411,13.173
149,414,10.9922
152,414,19.4603
151,414,19.3195
155,412,15.9468
160,407,32.5123
161,405,12.8228
159,394,12.9278
159,393,12.2597
160,395,9.91167
162,400,17.8422
164,403,17.3994
162,407,16.0667
162,410,16.6802
160,411,29.313
161,414,12.023
159,419,11.6115
149,418,16.9586
145,429,16.9178
150,431,16.4498
451,103,84.4481
450,106,10.653
488,122,33.2115
493,125,14.6536
500,115,15.8975
469,111,31.4733
500,93,14.3527
210,222,13.2039
202,221,11.6428
208,226,27.9417
210,228,20.4303
211,217,11.4418
243,232,18.018
240,224,32.5958
227,233,14.9359
223,232,13.3778
246,232,26.4018
238,253,11.5049
243,243,11.8882
237,213,16.9919
232,208,14.6461
233,203,13.3446
227,213,28.4141
234,245,25.1619
241,223,15.8129
237,208,30.0079
246,200,13.1571
231,189,30.9217
231,180,44.7992
238,180,11.1257
251,189,18.1436
203,170,17.7346
200,170,14.4779
194,169,12.6995
191,173,11.3655
178,165,19.8507
178,169,34.7826
185,170,16.2165
185,170,14.9748
201,178,13.8102
202,180,14.1136
206,184,13.6632
199,181,12.5618
197,181,11.3317
196,155,16.5817
195,154,33.0561
210,162,14.7556
209,174,12.3862
199,172,11.1317
186,171,18.3126
181,169,32.0825
180,177,15.1103
178,174,14.3964
189,187,29.4351
194,188,12.2798
202,192,10.2924
208,189,17.4514
219,201,16.3817
222,202,15.1999
220,195,14.2816
193,173,13.2983
189,171,12.8029
188,173,27.6556
189,173,18.1043
193,175,31.6809
189,164,14.0903
347,270,13.1497
391,287,11.9372
376,320,18.8666
389,320,18.5564
386,293,32.8916
369,271,16.0477
360,269,14.3309
355,262,13.0123
333,258,12.4233
342,259,11.336
319,265,18.126
309,279,17.5597
305,308,16.6785
300,310,32.3104
305,314,14.4153
313,325,12.4095
314,334,11.4552
317,339,18.947
316,343,17.0853
304,323,16.5039
302,323,15.341
296,349,14.1399
296,346,30.2089
293,337,12.0893
295,340,10.4097
291,284,17.2814
290,280,16.068
289,264,15.443
288,266,14.644
287,267,13.5931
288,263,12.7321
306,261,27.2884
315,270,18.0391
324,320,16.2547
338,326,16.2943
334,294,14.8261
328,304,14.5291
305,299,11.9771
310,296,19.581
299,286,20.8347
298,289,25.6299
306,293,17.9852
313,305,16.2705
313,297,14.7454
288,283,12.0942
286,281,9.73934
280,278,17.0652
277,274,16.1486
292,296,16.2014
283,325,31.7944
293,316,14.0366
295,316,12.2223
306,319,11.7432
310,317,18.0619
323,304,17.3339
319,298,16.416
311,303,15.0418
317,305,14.3112
317,308,29.7057
284,296,12.3221
286,294,11.3567
289,292,16.8124
299,294,16.5364
305,309,15.27
309,313,13.7765
308,313,13.2199
320,319,43.6098
310,319,18.9275
323,238,16.012
312,250,15.2763
303,300,14.5837
301,308,12.7938
301,289,11.7938
330,264,18.9627
335,256,18.7402
388,180,33.5809
379,184,16.0143
379,182,14.3283
416,147,13.7859
432,122,12.0268
428,127,11.5181
432,120,18.2504
439,124,17.3402
446,124,16.2324
442,125,31.8121
435,128,14.5683
430,115,12.6459
427,115,11.1699
424,119,18.3965
422,122,17.3311
437,139,15.9949
430,144,15.2771
435,131,14.1339
444,131,29.7487
442,135,12.8987
441,119,9.6715
438,118,17.5311
431,107,16.7757
444,90,14.9473
456,113,14.5853
461,121,13.3993
461,117,12.2201
464,157,41.2743
454,149,18.0303
444,158,17.9694
447,166,15.7801
445,175,15.3313
442,165,14.0743
433,154,13.105
437,149,10.1335
428,135,33.9433
427,125,16.1714
443,96,14.6077
168,204,17.135
170,204,13.9411
176,207,30.9813
177,205,10.8196
176,205,19.812
175,206,19.4227
174,206,17.0367
172,206,17.7421
171,202,17.0325
171,202,12.8323
168,199,14.0856
166,197,26.892
170,201,18.8418
169,206,18.3665
171,208,15.4673
170,208,16.5508
170,206,16.528
170,205,11.8129
171,205,24.8493
170,203,11.8622
168,197,34.9138
169,197,16.9494
168,202,14.1212
168,203,15.1983
165,201,14.6931
165,201,11.9529
162,197,20.8448
160,196,10.9164
163,198,15.8598
159,193,32.92
159,191,12.9183
161,193,13.8197
160,201,13.2191
161,199,10.8878
160,203,19.6728
160,203,19.1864
160,204,14.9559
161,207,16.1818
161,208,28.8838
163,212,12.9632
164,212,11.9307
166,212,17.7384
170,210,19.0498
199,225,17.6016
243,246,13.7517
243,247,14.5739
259,254,13.9314
271,262,28.7927
273,262,10.9463
293,270,16.1048
295,270,17.1298
298,266,16.4287
299,265,13.7561
302,268,14.9987
301,266,13.0502
302,266,9.85029
302,271,35.1274
302,270,14.9054
303,271,15.8247
303,274,15.7689
303,275,12.6627
301,278,14.0259
301,276,12.8865
302,276,8.9857
299,271,17.8349
299,268,30.9663
299,269,14.8545
304,270,13.9652
304,272,11.4167
306,279,20.4177
307,275,11.457
306,274,16.2353
309,270,16.9703
310,275,15.9224
309,272,30.9534
309,275,12.7371
309,284,10.1326
308,291,19.1814
300,284,18.6078
298,282,15.9703
302,283,17.4703
302,282,14.9885
303,282,12.1457
308,283,29.1025
310,288,9.09477
307,285,18.0059
309,291,17.7295
317,305,15.2481
318,312,15.4498
317,313,14.9685
317,313,10.9831
311,313,19.94
311,313,33.4229
312,313,16.8292
314,313,15.9489
319,315,13.4375
323,322,14.4826
320,323,13.8354
317,320,9.8901
318,320,18.7371
318,321,17.8842
318,319,32.8622
318,322,14.8551
317,321,12.4592
319,320,13.8087
319,318,12.7373
319,319,10.3713
320,321,19.1756
320,321,17.5042
320,321,13.9741
321,324,31.0571
317,321,10.939
309,315,19.7984
296,306,19.4027
259,269,16.6489
232,242,17.6652
228,237,17.0343
225,234,12.9222
168,174,13.9095
170,175,26.825
168,174,18.7465
166,182,18.2105
166,182,15.3977
162,184,16.5321
163,184,15.5851
165,184,11.9905
166,186,20.7494
167,185,12.1707
167,186,26.9083
165,184,17.2514
163,182,13.975
167,187,15.1582
165,186,14.5726
164,186,11.8726
166,188,20.9677
167,188,10.7416
170,189,15.744
174,193,32.8722
174,193,12.6173
174,196,14.0242
170,196,13.2688
168,192,10.6672
167,187,19.7567
168,189,18.8071
169,189,14.837
170,187,15.7645
172,189,28.8116
170,190,13.2844
167,190,11.9265
164,191,18.2914
163,191,19.537
164,192,18.0713
164,192,13.8608
158,188,14.9067
160,191,14.0791
167,453,28.9703
164,446,11.0619
163,460,16.4141
165,494,17.2641
164,501,16.5536
164,499,13.7246
159,495,14.8406
160,495,13.294
155,495,9.88202
158,495,34.8713
159,494,14.7473
163,493,15.673
163,493,15.3906
162,492,12.5538
162,493,13.5077
159,490,12.9687
157,487,9.23896
155,486,18.101
154,487,30.942
152,489,14.7742
152,490,13.935
151,488,11.2808
151,493,20.3673
152,492,12.1276
155,486,7.69654
154,487,16.6573
153,490,15.9096
156,481,30.7311
158,478,12.9027
159,477,10.0223
162,475,19.0883
163,476,18.4642
162,475,15.6329
160,473,17.0346
158,472,15.2721
160,474,11.7823
371,372,97.7365
217,191,24.8007
213,181,10.3481
181,171,32.7137
158,168,11.5719
158,170,16.8211
162,175,13.6315
175,176,12.8551
174,181,11.1024
181,184,19.8669
181,193,19.4609
176,184,15.2868
169,191,31.9797
174,177,11.6752
177,184,21.1753
173,181,12.3189
159,152,10.1664
148,134,18.8774
147,145,20.0016
135,151,7.93784
129,155,19.7104
136,146,28.2638
140,143,12.4133
140,142,11.6477
141,137,16.3323
140,139,17.45
139,145,17.5773
141,156,15.2268
143,158,16.2966
151,171,15.4809
159,170,28.2078
158,172,10.4906
158,169,15.0255
157,168,16.4135
155,167,15.8207
148,158,14.4315
148,158,14.4535
151,165,15.4828
152,165,9.25979
151,166,35.9182
151,167,15.3212
152,172,15.5832
157,188,16.437
149,181,12.1308
146,181,12.9227
151,183,12.8297
154,183,9.18979
165,189,24.3593
168,189,22.1136
165,185,14.4979
164,183,13.666
164,179,10.0508
165,180,19.8712
167,182,19.4002
168,174,16.1443
172,178,17.9108
172,179,17.6053
174,184,30.9941
174,183,12.724
171,178,10.1309
172,181,18.4109
171,179,18.3663
170,175,15.6107
169,172,17.0612
168,177,16.6004
166,172,11.477
164,173,37.3155
164,168,8.0933
163,176,17.3145
167,181,16.6878
166,178,13.9267
167,179,15.4991
167,179,14.6924
165,177,11.6357
159,172,21.4108
226,232,23.7552
184,192,16.5192
190,205,15.8258
200,218,12.9625
272,295,13.73
308,327,13.6563
308,325,10.323
314,346,20.6116
312,341,12.4323
313,342,25.0809
304,347,15.1528
304,343,11.246
300,349,20.664
308,353,12.0882
308,357,9.64313
301,349,18.7284
301,348,18.2428
307,339,13.6141
307,340,31.1448
307,342,10.1043
311,351,19.5009
310,352,18.5945
311,353,16.0802
321,362,17.1847
321,362,16.7145
316,357,13.7118
312,357,15.5086
315,348,25.8919
308,347,18.8959
306,349,18.1251
301,349,14.6596
297,347,16.4796
297,347,18.563
301,342,16.0255
303,341,15.6486
305,340,15.6283
310,337,27.6936
311,337,16.6798
309,339,12.7965
307,340,14.6139
306,341,13.823
306,343,11.5866
304,347,20.9109
302,341,13.0997
303,340,7.25141
305,338,33.9218
305,339,17.5846
306,337,16.6719
306,336,14.5792
308,334,11.1805
306,333,20.9974
306,332,13.8637
306,333,12.6049
311,334,11.3436
314,338,30.5574
318,342,15.818
318,343,13.1561
318,344,9.6838
319,343,19.2219
322,344,20.6766
321,344,9.03927
317,338,17.4578
307,331,17.8254
304,330,31.1937
307,328,12.2551
311,330,8.86454
315,334,17.9211
316,339,18.11
319,344,14.4149
320,346,16.3242
317,336,15.8694
317,337,12.4104
316,334,29.6144
314,330,8.38356
315,324,17.2049
316,325,16.3918
315,327,14.1131
316,332,14.6013
316,332,14.525
312,333,12.6419
309,333,13.5933
304,330,24.8036
302,328,16.177
306,328,15.5961
306,326,11.9262
310,328,37.1759
326,342,9.61124
375,392,35.4332
445,460,46.6566
447,460,10.459
447,460,19.924
446,461,20.2493
443,461,8.98486
442,461,18.0893
439,465,18.9081
439,467,17.968
443,470,34.4684
437,472,12.195
443,475,12.2915
444,475,10.5273
445,478,14.298
442,475,15.3841
444,479,15.5572
443,485,11.4827
442,490,21.7222
441,492,25.2824
441,490,16.704
447,490,16.0671
451,490,12.0936
453,489,13.9221
453,488,13.7197
449,487,10.2709
450,487,20.2354
452,487,12.526
140,168,34.0495
141,169,16.1912
139,167,13.8868
139,166,16.5527
143,163,14.871
137,164,9.63416
142,163,20.4582
154,176,10.1611
147,170,13.1301
436,153,525.126
441,158,7.86871
442,159,18.9109
442,160,17.1402
445,160,13.5773
444,160,15.2445
433,137,375.555
434,139,9.80448
435,140,20.9792
436,142,12.2264
438,143,7.00157
439,144,18.1199
446,143,196.349
445,143,8.94515
445,143,19.2488
445,143,18.3463
441,141,12.6198
429,141,15.6855
429,140,15.1443
431,141,10.0585
435,145,36.5664
438,147,8.26659
441,148,18.4227
443,151,17.4637
443,154,12.2911
441,156,14.708
440,155,13.4428
441,154,10.2524
439,154,20.3721
443,179,190.309
441,182,10.9006
441,182,21.0635
440,181,12.4146
439,178,6.62912
439,177,18.161
438,175,17.347
438,172,12.6781
309,391,526.281
310,393,8.2045
310,389,19.4289
310,387,18.1432
309,383,12.7665
309,380,16.1303
309,380,29.3584
306,368,16.2825
304,348,15.5113
304,351,10.3955
304,340,22.7048
304,336,14.4079
305,337,7.91549
298,337,19.2694
299,336,15.3631
299,333,30.2179
299,330,14.1267
298,329,10.1775
298,328,19.8756
299,329,18.8375
299,328,13.6153
297,329,17.1257
296,328,16.103
296,329,16.8179
293,327,29.1265
293,326,8.20361
296,328,17.4129
296,328,16.7644
296,327,11.2761
295,326,22.5112
295,327,14.4499
295,327,8.15248
295,328,18.8863
295,329,30.4375
295,330,16.8181
294,330,17.0497
291,328,12.7786
291,328,15.6531
291,326,14.6104
290,325,9.52495
289,323,18.2911
288,321,17.1577
287,319,32.6669
287,319,14.7653
288,318,10.906
145,464,32.2955
148,467,13.7892
158,464,13.7018
158,467,13.0238
165,469,10.7952
190,476,18.1471
193,478,17.2172
199,481,15.5864
204,483,14.9858
220,490,29.5593
214,487,12.1804
230,492,25.9079
305,462,46.2925
383,370,89.3435
356,355,45.2089
369,370,42.3269
387,364,47.5817
382,361,44.5342
394,372,41.2275
399,337,47.4052
426,343,43.8676
422,343,48.3617
412,359,93.7512
379,324,29.0319
389,315,11.2053
411,296,30.7479
445,266,13.2189
458,263,28.8666
452,272,10.5255
494,247,33.6391
492,248,16.0006
486,245,29.7888
480,241,12.418
476,237,42.2305
478,237,15.8629
487,240,15.5869
491,239,13.9069
496,242,13.6519
492,241,11.8761
484,240,18.4779
482,241,17.8735
484,242,16.8003
486,243,31.9404
486,243,14.003
483,239,13.1454
485,240,27.7689
496,244,17.4157
499,242,31.7454
501,241,14.5423
492,220,31.2129
487,207,13.4115
493,205,26.9697
496,204,16.4686
473,217,30.5922
470,217,13.25
443,237,43.2811
404,269,17.835
370,286,17.7241
366,287,15.728
345,301,15.3524
339,305,13.9106
337,306,12.3269
347,311,11.8251
343,304,18.8567
331,294,33.8796
332,297,16.1265
336,300,15.1154
335,299,14.7542
337,296,13.6512
341,300,11.452
345,301,18.7915
347,306,17.9942
351,308,16.5063
355,311,31.7755
358,310,13.8351
356,310,13.8499
348,307,13.1099
350,304,10.797
210,243,17.7285
209,234,16.9282
207,234,15.5202
205,221,14.678
209,213,29.4738
218,218,12.0026
224,218,11.8219
222,215,18.514
219,212,17.8664
213,208,15.6591
196,192,14.3858
191,187,13.4606
151,170,120.935
232,376,18.2009
234,304,15.5685
228,247,10.5502
218,228,34.3596
207,209,16.1651
236,182,15.6621
232,202,14.881
217,215,13.2814
251,216,12.204
265,222,11.2792
280,204,18.0941
285,201,17.2437
287,199,31.4413
288,198,14.1196
290,188,13.7632
290,189,11.8831
288,188,19.0858
278,182,17.8536
317,210,16.6628
306,208,16.7003
329,239,16.3815
344,257,31.2133
347,269,13.5782
349,292,12.3207
349,301,10.805
346,298,17.6767
349,293,15.6062
345,295,14.8453
347,296,13.7721
347,295,12.551
347,293,27.9588
342,294,17.9162
341,296,17.7056
346,295,17.2504
347,290,14.7472
347,292,14.0277
345,298,12.9982
345,300,11.5778
345,307,18.7591
343,309,33.6007
343,308,16.6789
353,301,15.7315
364,292,14.6066
379,285,13.9188
398,270,12.882
404,267,10.546
415,259,18.152
436,246,16.9202
431,246,32.0543
427,242,14.2092
422,239,13.3743
425,240,12.9481
438,233,11.6719
453,233,17.545
455,234,16.7408
445,240,15.8751
447,239,14.3414
