x, y, time_span
340,340,42.8822
336,342,30.9945
314,354,15.2364
309,359,29.3043
317,358,12.9864
317,357,25.0038
320,352,46.2219
316,352,13.9176
300,351,28.2802
292,350,12.1928
284,347,24.2008
281,346,16.2614
280,344,30.0321
280,345,12.8854
274,348,26.1618
273,349,18.2236
278,344,31.6244
277,345,16.7533
277,328,45.1135
276,329,24.4308
269,337,16.4819
281,330,30.7124
291,323,14.7165
383,235,26.6586
420,232,30.9343
443,202,15.5315
444,200,15.2662
442,200,29.179
440,186,13.2207
435,189,25.7192
432,188,17.1472
434,186,31.6989
436,183,14.2721
439,171,27.9872
442,166,20.1508
443,168,25.4067
442,165,16.969
441,159,46.3748
439,157,26.5632
437,158,19.3833
430,165,32.4198
429,161,16.0741
425,162,28.558
428,167,41.6632
432,166,17.3927
432,163,31.438
425,153,15.0547
427,169,27.6883
430,168,19.5581
431,168,33.6975
432,165,16.0312
434,163,12.4405
432,165,13.6634
432,159,13.8044
430,183,9.17611
435,176,19.6435
435,172,18.6114
442,164,48.406
443,158,28.5448
443,158,12.7794
444,158,9.07575
442,157,18.7969
422,169,19.2304
419,169,30.5772
384,176,43.5934
395,174,19.5286
86,159,320.884
78,233,14.1017
110,238,12.5928
135,223,11.9422
147,212,32.4753
126,239,28.9746
123,240,13.4372
115,244,12.9264
111,252,9.25227
145,209,19.5041
140,213,18.4678
114,217,13.4568
110,216,15.3751
115,219,15.1076
74,220,29.5532
78,210,11.9044
78,205,33.6683
103,219,17.5959
104,219,12.806
118,217,15.4642
133,226,14.0382
152,224,44.3297
148,229,7.07107
165,214,16.4569
153,231,16.1647
155,225,30.4589
162,208,15.2636
150,226,8.84773
148,223,18.3679
153,230,31.0661
159,201,15.7322
157,207,15.1538
149,219,11.6029
152,205,22.3123
154,209,13.3824
149,203,7.51272
149,202,17.5525
151,198,17.3808
156,183,31.5749
155,176,14.3654
151,200,10.2127
155,180,19.7645
152,182,19.7275
149,201,15.1395
149,199,17.429
150,194,16.6291
146,208,12.0445
146,199,30.2423
149,181,26.5065
144,185,18.6727
147,193,32.4742
146,196,16.2859
149,199,28.6428
154,200,43.6784
155,193,19.9985
160,196,31.2089
162,195,14.9611
160,197,27.5511
157,198,19.3213
156,197,33.5475
156,195,16.1267
154,197,29.3637
175,195,14.5019
184,218,10.2406
227,263,18.9435
228,263,19.6777
218,306,47.8625
210,327,28.5081
301,336,14.5986
301,335,16.7132
300,333,16.3949
298,330,11.2907
301,335,22.4522
304,336,26.5995
304,341,20.1821
302,334,11.0846
301,323,14.249
290,270,16.8378
261,240,16.0255
267,241,11.3438
255,227,20.8696
234,204,13.0683
194,161,26.6889
193,161,17.9249
194,162,12.3041
194,158,14.9276
192,161,13.872
193,162,9.88311
195,167,19.7787
196,170,19.7422
195,169,15.8525
195,176,32.6836
194,176,11.7898
194,177,22.2405
194,176,12.2274
183,169,8.21367
203,169,19.382
252,167,17.9176
283,164,13.2166
335,159,15.5771
402,156,27.7459
462,158,21.1339
457,157,13.0601
458,166,7.33326
460,170,17.7737
464,170,16.7442
465,170,12.429
460,167,14.7121
459,164,13.9738
458,155,28.8458
460,142,11.2406
461,143,14.7218
464,152,17.8029
469,162,17.5462
470,164,12.3915
463,162,13.9591
461,161,12.8287
450,173,11.0247
434,179,35.6124
421,184,15.0868
373,207,16.4145
370,210,15.3225
319,239,10.5848
310,250,20.4714
309,253,13.339
308,268,8.10776
307,264,17.6784
311,267,30.0622
311,270,15.617
307,271,15.0481
302,272,9.47088
304,272,19.6736
305,268,18.8326
305,268,14.6197
305,268,16.7043
305,268,16.1029
303,268,30.0374
281,278,13.6776
288,276,8.52803
286,278,20.3156
289,278,9.91203
298,277,13.7268
297,276,15.022
286,263,15.0869
280,261,10.7922
269,261,36.7497
262,252,7.38718
208,199,18.6928
206,197,17.0569
197,189,12.2832
208,199,14.5496
202,192,13.8023
200,194,9.27717
198,188,19.5889
202,190,31.8077
202,190,16.9323
198,190,16.9984
198,192,11.1663
197,189,21.9852
195,190,12.898
194,189,8.3339
185,192,18.7299
184,193,17.8163
180,193,33.4841
184,194,15.1981
184,197,10.1277
189,201,22.4481
196,193,13.2381
214,195,6.93816
247,194,17.6083
309,184,18.2098
325,183,11.8757
443,163,49.6843
456,163,20.2839
459,163,22.1959
459,163,16.4807
457,158,16.1123
457,157,12.1756
456,157,13.5041
454,153,25.8157
456,151,19.427
455,149,18.6284
454,150,13.2949
454,150,15.8312
453,150,16.0958
453,152,10.028
454,162,21.958
456,166,11.74
457,169,34.6573
456,169,17.2198
456,169,12.1011
455,165,15.0953
450,170,14.0641
437,179,9.6142
329,263,19.5577
326,266,18.9242
322,269,14.8553
309,278,32.8748
309,279,11.4601
306,276,22.7042
307,279,13.436
309,279,8.8159
318,275,18.404
316,272,17.6876
316,276,13.2928
312,277,16.2234
306,281,27.7562
300,283,21.1793
299,285,12.9413
298,285,7.30512
297,284,17.8337
307,290,16.9346
310,292,12.3342
312,292,14.7763
313,291,13.9867
316,291,28.6812
316,291,11.2959
315,291,14.1998
314,292,17.0281
314,292,15.7595
316,292,11.6304
315,292,21.6821
313,291,12.7723
313,292,8.76887
310,291,34.9346
311,290,15.0591
313,291,17.281
313,291,16.7813
316,291,10.4241
310,293,20.5228
304,285,11.9603
